Date,West,Central,WFS
01/01/1993,0.5757195203633688,-0.09464259353582344,0.24188772057006924
01/02/1993,0.5730722326258749,-0.10410499455624941,0.19204557793704358
01/03/1993,0.5750379750860815,-0.06368707954960537,0.16224792889409667
01/04/1993,0.5880028136416269,0.08031434019246345,0.19185943352547952
01/05/1993,0.5892679862991792,0.13829866882555986,0.16253012602041395
01/06/1993,0.603083337956018,0.009812371239174889,0.06220898419841758
01/07/1993,0.6204193115380044,-0.14008379147159672,1.831808483959696e-05
01/08/1993,0.5828527995271798,-0.17914120422768653,-0.0029704771274994823
01/09/1993,0.5305537951989739,-0.22866770138587086,-0.044685976673346506
01/10/1993,0.5450531953601241,-0.3403578921083305,-0.10960535159909657
01/11/1993,0.5257809756763456,-0.4070648412802315,-0.15134668222272166
01/12/1993,0.48720111564642177,-0.48702964645550695,-0.17897211095893256
01/13/1993,0.41597103975713445,-0.5443300247500603,-0.19580978827593978
01/14/1993,0.3943662714134706,-0.5882986871192105,-0.22685553073659948
01/15/1993,0.41219233512598624,-0.6042257586379697,-0.23914093506964326
01/16/1993,0.399033663358008,-0.5728251577984048,-0.23998786466238953
01/17/1993,0.3870037383748635,-0.6309398603847705,-0.3087973745357817
01/18/1993,0.36741031294366516,-0.6763517754726711,-0.26582274734750966
01/19/1993,0.33423638027077546,-0.5602593966199237,-0.2178404423146409
01/20/1993,0.3505976806911547,-0.47635657686472616,-0.202490229221221
01/21/1993,0.37178520281064115,-0.3462408846348946,-0.11952841720187606
01/22/1993,0.39232768504691407,-0.2918879399963452,-0.06527719284583722
01/23/1993,0.4529042770517518,-0.3143207153034482,-0.057483225292290344
01/24/1993,0.4892299811480427,-0.25850350392793153,0.024047223714949245
01/25/1993,0.5025080985654355,-0.15488543175425626,0.0962058110344603
01/26/1993,0.5635316834755644,-0.16141420122532077,0.051502869131413165
01/27/1993,0.5857713536330003,-0.2812604422261421,-0.04409317246282049
01/28/1993,0.5807694888378252,-0.45563234071347514,-0.047271367394395386
01/29/1993,0.505585732748525,-0.32114591920903457,0.10552326257963107
01/30/1993,0.4612355172275607,-0.11500586107825703,0.17165099080342816
01/31/1993,0.515136127925123,0.012151206598294773,0.20327118937681238
02/01/1993,0.5321850230880942,0.08761975793450971,0.22329319175024087
02/02/1993,0.5255722065426829,0.028982626960290275,0.20988914532544015
02/03/1993,0.5372473825363087,0.036133175118364,0.23788741248217748
02/04/1993,0.555740139045776,0.14479504686617317,0.3457538501727765
02/05/1993,0.5818000674029292,0.24759655656857954,0.3928426789408246
02/06/1993,0.5793465294369667,0.3169049541556866,0.40679179915583297
02/07/1993,0.5411717332597074,0.3138117279768312,0.3630856155520008
02/08/1993,0.5387748099448992,0.1481046925640236,0.25425197099159513
02/09/1993,0.5124324341387247,0.04781609884503926,0.22782381905199878
02/10/1993,0.4650390038062293,0.14230096889316782,0.2729116905183643
02/11/1993,0.4372033696403215,0.2479592659836385,0.28180996835454986
02/12/1993,0.43473556328032714,0.30651072442204275,0.27601518248031887
02/13/1993,0.41987478057805067,0.19753793224490263,0.2052729922129591
02/14/1993,0.4090783207101726,0.07692940462460429,0.20372126737034693
02/15/1993,0.3785822985853485,0.12058211066064989,0.2482326534412784
02/16/1993,0.3475351075906489,0.30818127669880707,0.34423674996633224
02/17/1993,0.33520984353931915,0.47328829350264323,0.34956957808785605
02/18/1993,0.41621109922857746,0.3750011917615469,0.2663080663788527
02/19/1993,0.44522654601057887,0.16970424339724344,0.18941968611531762
02/20/1993,0.3984298850002136,0.045481428986570704,0.2458537845123005
02/21/1993,0.3196725637342501,0.1366300438699945,0.3057978232865832
02/22/1993,0.2799642906830945,0.17670986943558714,0.30777252674325983
02/23/1993,0.3177685675405929,0.12640187461760152,0.25912926742231956
02/24/1993,0.38422511465959763,-0.015758456007539556,0.19625608589191135
02/25/1993,0.40690864868854393,-0.048637933922181686,0.22347688411186467
02/26/1993,0.34350908412969283,0.13062991995193746,0.28931146553807496
02/27/1993,0.3370014031192211,0.10897578240866723,0.20385587645651654
02/28/1993,0.39992748228678987,-0.10900897008608146,0.11691603618232005
03/01/1993,0.38397479195736306,-0.19401987518659874,0.11121235664624901
03/02/1993,0.3143050191915563,-0.19015889128293073,0.10390233074138683
03/03/1993,0.24087277104980243,-0.11977573235572497,0.1369780746124648
03/04/1993,0.20762703748181865,-0.05255232327451814,0.16021543315701836
03/05/1993,0.19287806558654108,-0.24605213858827574,0.06151188331214191
03/06/1993,0.1579872112194618,-0.4332953097497389,0.0656823974870086
03/07/1993,0.06472289667038078,-0.42942164282915674,0.09556650242858505
03/08/1993,-0.02127250553073512,-0.4309575313086946,0.10860912514807702
03/09/1993,-0.0744638685719603,-0.48805958203484845,0.08432271199789954
03/10/1993,-0.11683686850886532,-0.513662303338799,0.08105066274116718
03/11/1993,-0.18944601388521853,-0.49615520146791414,0.07166556843912891
03/12/1993,-0.21529049783664828,-0.5130206918949515,0.023474416394423547
03/13/1993,-0.3114782060637933,-0.5227853093134928,0.07328886777385846
03/14/1993,-0.51757184896646,-0.8929198225438773,-0.24502995575954145
03/15/1993,-0.647912126470886,-1.344589161665767,-0.3575962121975249
03/16/1993,-0.7262388092481098,-1.2965857456269043,-0.24421105563417178
03/17/1993,-0.7938666162908714,-1.0156107896323632,-0.16014653984766225
03/18/1993,-0.7584619745774588,-0.9304830639986097,-0.23157035772066487
03/19/1993,-0.6028364757588458,-1.0097294135687402,-0.3591697095525093
03/20/1993,-0.5594921402963682,-0.9848616233575922,-0.3472908804649773
03/21/1993,-0.5887588693509621,-0.8746976223370263,-0.3071776687225087
03/22/1993,-0.5969532247291013,-0.7797431076331969,-0.31539047177125795
03/23/1993,-0.5701959807644217,-0.6850548119412424,-0.310569276552015
03/24/1993,-0.5354383397953832,-0.6684626902660076,-0.3168943816401099
03/25/1993,-0.5034639117911568,-0.7163540108171503,-0.33308801535825866
03/26/1993,-0.49818172728992777,-0.7582454561368439,-0.32640271258982717
03/27/1993,-0.49770628103748227,-0.8207607303905559,-0.33872329115644567
03/28/1993,-0.4814970933791595,-0.9387634575800407,-0.3622148596366604
03/29/1993,-0.49942069950464485,-0.9960752132868228,-0.3832733604289629
03/30/1993,-0.5517003038234269,-0.9982588060320597,-0.3891554477362784
03/31/1993,-0.6285423226536883,-0.9607827292327804,-0.39858319925187446
04/01/1993,-0.7284993484106477,-0.9374960884634864,-0.41423429578319776
04/02/1993,-0.8214645273305637,-0.9545864537541274,-0.45035320273244317
04/03/1993,-0.8391318030089563,-1.0052209119143274,-0.4865143864047344
04/04/1993,-0.7950189351301669,-0.9778721619486485,-0.47449938399228064
04/05/1993,-0.8232406503438252,-0.8866593237491895,-0.45270370398025767
04/06/1993,-0.8593059771093433,-0.8574524496340626,-0.49148329649429306
04/07/1993,-0.7815884963484614,-0.851993467770972,-0.5019537188303278
04/08/1993,-0.7054123776265997,-0.7371674011167013,-0.45566835918373705
04/09/1993,-0.6833347496984119,-0.538955223303148,-0.36732286014504156
04/10/1993,-0.7269804319739328,-0.4573429315338287,-0.33994965433851054
04/11/1993,-0.6920784799670568,-0.5376020573074745,-0.3716136515969712
04/12/1993,-0.6433678098549513,-0.5352602998807328,-0.3090935229807081
04/13/1993,-0.6206022951410204,-0.44853097033176836,-0.24765470610974455
04/14/1993,-0.569787746157524,-0.35585206241744494,-0.2062438103534288
04/15/1993,-0.5267337850296377,-0.20515550186480497,-0.128117229425376
04/16/1993,-0.5417728392163599,-0.053071083534932256,-0.09922265346338144
04/17/1993,-0.4779724662907789,-0.11349254090822763,-0.17669842651689088
04/18/1993,-0.3940710134938685,-0.20833471143773397,-0.19725100176451543
04/19/1993,-0.36328002778490937,-0.19468573357454558,-0.17738115331732945
04/20/1993,-0.34901730773872314,-0.1308394886047561,-0.1509423899202501
04/21/1993,-0.317507812433447,-0.057063063108386464,-0.1483472332761795
04/22/1993,-0.2700825493973219,-0.10671384139798905,-0.2070862586135373
04/23/1993,-0.24879435583108306,-0.2547400051738712,-0.28768843761288804
04/24/1993,-0.29386629342304404,-0.24228366610209334,-0.255872666918704
04/25/1993,-0.3389701054390856,-0.10091534014586255,-0.22701630911433712
04/26/1993,-0.33288317517062305,-0.02143615774073096,-0.2521967058500062
04/27/1993,-0.2690296086708135,-0.04380184983582669,-0.3156880153480405
04/28/1993,-0.2102683569025933,-0.11049847851357299,-0.39053815024016514
04/29/1993,-0.20210283035566334,-0.1178254076470518,-0.4003345970574276
04/30/1993,-0.23175034196080824,-0.09170945935967281,-0.39441822332772236
05/01/1993,-0.2634349379962949,-0.05104093042568697,-0.3788352345972203
05/02/1993,-0.2822032163600245,0.041363924848665634,-0.34732085466161733
05/03/1993,-0.28967221998798354,0.14591332836234572,-0.3418414531412974
05/04/1993,-0.2869910135243383,0.20189249689011293,-0.36212916471905254
05/05/1993,-0.24110214779363348,0.21438819061731312,-0.38916686245149923
05/06/1993,-0.1709502952237758,0.2221625069552439,-0.39517561082105673
05/07/1993,-0.1354574147578254,0.22953737043205782,-0.37412607269404513
05/08/1993,-0.12248214608968647,0.23080473954861214,-0.32788941583239883
05/09/1993,-0.09297710982256394,0.26155502491311233,-0.2494422927902245
05/10/1993,-0.06059953710638233,0.3040873356168343,-0.1629136359243539
05/11/1993,-0.06294914943047086,0.3361975636870244,-0.06055911055409771
05/12/1993,-0.06397805917755733,0.3823253231707075,0.046515441837158666
05/13/1993,-0.06756827081392477,0.4197899603861056,0.1593229715335538
05/14/1993,-0.08755820740546391,0.42939206110753225,0.2674025261850227
05/15/1993,-0.09749643588872806,0.43492322425805574,0.37916958345057283
05/16/1993,-0.09613860211090003,0.48128499783811707,0.5075505473380587
05/17/1993,-0.08104088897095421,0.5426252278778055,0.5970487635072815
05/18/1993,-0.048202972805364425,0.5819546416093634,0.6512985081780154
05/19/1993,-0.027578468163660247,0.6157758957014701,0.681234571212208
05/20/1993,-0.031957696957469,0.6098340887925532,0.6749912293064778
05/21/1993,-0.019858599467608123,0.5424137199192818,0.6422214843567958
05/22/1993,-0.007579895438890538,0.448458738857189,0.5821611000406954
05/23/1993,0.0019137182047512247,0.38629056893399955,0.5118979050454264
05/24/1993,-0.014076186766411092,0.4325845754138904,0.48647188054887075
05/25/1993,-0.04757908519049123,0.5137955491725463,0.4617799067945324
05/26/1993,-0.040889377855043374,0.540245670086929,0.4373364778949717
05/27/1993,0.01996019105658095,0.5253794334583252,0.41441340450952896
05/28/1993,0.07367347693197102,0.5544660675993818,0.4067616981290255
05/29/1993,0.11019860478104204,0.6045000097773983,0.3937722172503984
05/30/1993,0.13596699063099102,0.6289046833562585,0.3746769206461061
05/31/1993,0.15349383527343127,0.6315958454646324,0.3696891974147916
06/01/1993,0.163099426605875,0.6327964422274366,0.36941786540629107
06/02/1993,0.17975143512445027,0.5818471468238602,0.35942153424247586
06/03/1993,0.15595913840640255,0.5446993985163384,0.36775228934851817
06/04/1993,0.10733887651024981,0.5628074515709677,0.37837727538400423
06/05/1993,0.0913987023159338,0.5959675723206439,0.39058239621998714
06/06/1993,0.10468962791159031,0.6152407842967023,0.38535699325171685
06/07/1993,0.1318027473179512,0.612932475218485,0.3763181030346833
06/08/1993,0.14875126307732267,0.6200334103986321,0.3729513961950555
06/09/1993,0.16021766993728823,0.646574550610864,0.37265195016573277
06/10/1993,0.17347388411823186,0.6780968213724805,0.3766598257870516
06/11/1993,0.17502521734488874,0.6832446341196365,0.3567362859015974
06/12/1993,0.166269847070591,0.649989266399809,0.31463192505719306
06/13/1993,0.14947523805263963,0.6129256363368172,0.2722268076050467
06/14/1993,0.12139015731394898,0.5735050167924551,0.23284680107033306
06/15/1993,0.09367822428339256,0.5205751812575561,0.17510081368056257
06/16/1993,0.08196270461425587,0.47258015839165396,0.12587544616002766
06/17/1993,0.10602363931225156,0.48560909837407507,0.11113689269561533
06/18/1993,0.1432503799752431,0.5276828309760714,0.10761173269801594
06/19/1993,0.21789565021158042,0.5478631273480349,0.11178114767808744
06/20/1993,0.3146964821774052,0.5514552810304627,0.11370169465253832
06/21/1993,0.2851853547245249,0.5309412472330546,0.10420621582663436
06/22/1993,0.2366996412808305,0.4855290212868969,0.08565603528927113
06/23/1993,0.1888247569510355,0.42913386223870603,0.07506402509776278
06/24/1993,0.15834896924464542,0.3975878419062003,0.09327222922241685
06/25/1993,0.14809921415844796,0.39476866836731384,0.12209793640257782
06/26/1993,0.14728357935366465,0.38367637533022786,0.14817265493752452
06/27/1993,0.13978507936729045,0.36510284312055075,0.1599638866549039
06/28/1993,0.1368332740625301,0.32046166999674064,0.16532157348957965
06/29/1993,0.13111356719824302,0.27851663271342325,0.18097300823468965
06/30/1993,0.10477498795305157,0.2374439880444547,0.2030851717954203
07/01/1993,0.06961278377675217,0.20123913500412444,0.2126874416237382
07/02/1993,0.03780932617815069,0.1842161637837466,0.21070174621907334
07/03/1993,0.013508790933660864,0.21419042259377774,0.21498480103068784
07/04/1993,0.002289994946663987,0.25606974444142216,0.22199360528385814
07/05/1993,0.0008110049809519904,0.28350851895852625,0.2311356084283932
07/06/1993,0.028363774493338323,0.3019163637168595,0.23103739960076097
07/07/1993,0.057359696104563485,0.28617419068976974,0.2335795835108596
07/08/1993,0.04585586600062036,0.27390175536323275,0.24563783501098968
07/09/1993,0.0280225429297416,0.2922065816949719,0.25301262885555287
07/10/1993,0.02471886734653561,0.3089285799502657,0.26224599199858645
07/11/1993,0.013719145444439196,0.30296662942625285,0.2771431677278613
07/12/1993,0.006442181049547302,0.30600595278322495,0.2844822800181789
07/13/1993,-0.004733517712217805,0.3018918680861542,0.28767679376484834
07/14/1993,-0.014972592363118098,0.3164813786937736,0.29342849965829354
07/15/1993,-0.013172980736294138,0.3267814805469922,0.2877192818715054
07/16/1993,-0.007026348503344715,0.3088148058279567,0.28089708707385763
07/17/1993,-0.011475709374237197,0.2910611311870788,0.2912926796100992
07/18/1993,-0.00973897046612393,0.28646123720490857,0.3087782477077593
07/19/1993,-0.004171626686601204,0.2950413603183933,0.33201302737220695
07/20/1993,-0.006521656215188687,0.31188397157766506,0.34959528233546666
07/21/1993,-0.014950647406222095,0.319990781908009,0.3683570578716667
07/22/1993,-0.019334882654078067,0.35224531038141405,0.3940903918680285
07/23/1993,-0.01183609062455604,0.3715465617723154,0.41143619311930546
07/24/1993,-0.004479481889898607,0.36592792310808264,0.4305289108434913
07/25/1993,-0.002147684198122557,0.3921585159208918,0.4583590434726824
07/26/1993,0.013078319326718602,0.45041434815624415,0.4773506775520726
07/27/1993,0.05013521603623755,0.46178013428843767,0.4722887163950903
07/28/1993,0.09083339021338521,0.42523992735972305,0.4664356731965035
07/29/1993,0.10689447027288107,0.3942623424372075,0.46518022362898437
07/30/1993,0.0977627398157695,0.34789907673750897,0.4576921704433816
07/31/1993,0.07613907210808984,0.29131416980882885,0.44734024976204095
