Date,Escambia,Santa Rosa,Okaloosa,Walton,Bay,Gulf,Franklin,Wakulla,Jefferson,Taylor,Dixie,Levy,Citrus,Hernando,Pasco,Pinellas,Hillsborough,Manatee,Sarasota,Charlotte,Lee,Collier,Monroe
09/01/2003,,34531.419921875,32975.75390625,37043.009765625,115481.95746527778,53233.08693910256,58204.05484286221,52749.294921875,,37257.7052734375,32962.20761190879,50196.52025669643,58864.462646484375,66228.74479166667,85701.31232244318,88936.29918619791,31859.8857421875,64438.71280924479,324821.595703125,208832.7265625,197011.25677083334,22837.407905910328,49892.28936631944
10/01/2003,,,,,,,,,,,,,,,,,,,,,,,
11/01/2003,,,,,25155.21163504464,28443.05596454327,17936.267333984375,,,,,,,,,,,,,,18661.316731770832,21569.93780048077,16592.2427734375
12/01/2003,,,,11053.005533854166,10830.2939453125,,11790.075732421876,,,18235.7626953125,47916.3115234375,15103.164583333333,10721.194946289062,,,,,,,,,,
01/01/2004,32248.91796875,32248.91796875,,,,32248.91796875,32248.91796875,,,32248.91796875,32248.91796875,29477.336588541668,24187.3326171875,11590.759765625,23508.185407366072,199561.619921875,112626.611328125,132247.9453125,125371.9296875,12423.294596354166,24517.819691051136,32248.91796875,32248.91796875
02/01/2004,39455.12890625,39455.12890625,39455.12890625,39455.12890625,,39455.12890625,39455.12890625,,,39455.12890625,39455.12890625,39455.12890625,39455.12890625,39455.12890625,39455.12890625,32598.1572265625,34892.12585449219,49378.7404296875,192689.30110677084,21336.0791015625,36277.244318181816,39455.12890625,39455.12890625
03/01/2004,,,,,,,,,,,,,,,,,,,,,,,
04/01/2004,,,,,,,,,,,,,,,,,,,,,,,
05/01/2004,,,,,,,,,,,,,,,,,,,,,,,
06/01/2004,,,,,,,,,,,,,,,,,,,,,,,
07/01/2004,,,,,,,,,,,,,,,,,,,,,,,
08/01/2004,,,,,,,,,,,,,,,,,,,,,,,
09/01/2004,,,,,,,,,,,,,,,,,,,,,,,
10/01/2004,,,,,,,,,,,,,,,,,,,,,10257.466796875,31832.650390625,
11/01/2004,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,36432.71875,32088.4197265625,13444.383522727272,21079.2431640625,25059.79314630682,349914.7240551098,36432.71875
12/01/2004,15397.455078125,15397.455078125,15397.455078125,15397.455078125,15397.455078125,15397.455078125,15397.455078125,15397.455078125,,15397.455078125,15397.455078125,15397.455078125,15397.455078125,15397.455078125,15397.455078125,15397.455078125,15397.455078125,15397.455078125,15397.455078125,,15397.455078125,34349.470377604164,72046.6370547715
01/01/2005,35667.06640625,35667.06640625,,,,25154.23828125,30312.018359375,31591.048828125,,31736.9228515625,26658.330729166668,33195.131263469826,23057.6669921875,12032.75341796875,10596.494140625,119665.55823863637,398780.3868582589,450467.2184082031,1446953.469039352,59410.42013888889,31551.75439453125,82524.61139112903,232143.6532907197
02/01/2005,,80773.6953125,80773.6953125,80773.6953125,80773.6953125,80773.6953125,80773.6953125,,,,80773.6953125,80773.6953125,80773.6953125,80773.6953125,80773.6953125,40408.22629616477,42472.07529296875,124456.966796875,736277.3630952381,791322.8038194445,280000.47410534276,40546.06884765625,67461.31392911586
03/01/2005,95418.34375,95418.34375,95418.34375,,95418.34375,95418.34375,95418.34375,95418.34375,95418.34375,95418.34375,95418.34375,95418.34375,95418.34375,95418.34375,95418.34375,75594.89952256944,174034.357421875,136492.460546875,405594.0166015625,83585.80436197917,30348.108537946428,95418.34375,95418.34375
04/01/2005,,,,,,,,,,,,,,,,,,,,,,,
05/01/2005,,36746.9609375,36746.9609375,36746.9609375,,30827.85546875,34304.762369791664,36746.9609375,,,36746.9609375,36746.9609375,36746.9609375,,,22327.42041015625,26313.917317708332,103572.451171875,126328.109375,37901.09765625,,36746.9609375,36746.9609375
06/01/2005,305764.125,305764.125,305764.125,305764.125,,305764.125,305764.125,305764.125,,305764.125,305764.125,305764.125,305764.125,,,555646.8395833333,310105.0,435304.73125,296521.703125,,278900.7981770833,305764.125,305764.125
07/01/2005,93125.703125,93125.703125,93125.703125,93125.703125,93125.703125,93125.703125,93125.703125,,,93125.703125,93125.703125,93125.703125,77256.51640625,43390.974609375,89410.71715198863,161863.8770282452,160045.0161830357,206111.04375,163070.29910714287,70652.02473958333,66197.73229166666,93125.703125,93125.703125
08/01/2005,188410.25,188410.25,,188410.25,188410.25,188147.790625,193765.49620225694,207928.4140625,205474.515625,227996.400625,198583.81547619047,171175.66933139536,154527.07508680556,395417.90625,302288.32099184784,273327.85360054346,238336.69444444444,192535.75111607142,197921.18489583334,61732.259114583336,173540.78412828947,189798.07169117648,188410.25
09/01/2005,,98676.6921875,71285.21930803571,46276.031072443184,160380.19505550986,230710.714375,181041.38384184966,21876.17529296875,23035.55078125,341506.10243055556,446356.6542677239,324107.74849306303,254668.49769176135,408331.40625,989635.5558035715,634266.7037417763,557762.35546875,1069633.9520833334,1718948.662377451,526813.8401442308,232463.32212386592,65160.22153501157,104456.49993265086
10/01/2005,45698.836263020836,51775.16796875,50264.931919642855,55372.039963942305,351447.21432291664,104355.75339988426,59413.13791582661,73001.8046875,60244.1171875,58887.90068655303,58899.26164641204,63882.32255945796,70428.08798363095,86159.37890625,85831.52872242648,105243.73916903409,57640.308756510414,40016.060791015625,37928.34627757353,27895.6669921875,27741.42769632711,46744.07041839232,56323.89955357143
11/01/2005,64479.341145833336,74268.221875,79523.62109375,85094.971875,71525.36637369792,25999.81766183036,127443.7894881811,53039.815104166664,56968.7109375,58595.365234375,206008.51822916666,69412.562890625,46083.47781032986,34234.46875,53957.97061434659,171960.4528065557,180123.97919497284,325085.5442082332,387667.2804528061,898107.9774576823,169047.08254874466,70218.01332922149,46230.26995894161
12/01/2005,,26661.772786458332,16187.536865234375,21268.158984375,,28697.969669117647,28908.694957386364,30001.259765625,,29906.080078125,26035.935546875,27722.6236328125,32252.700073242188,32132.872395833332,36043.542436079544,59569.735630580355,42264.7453125,35233.53578404018,122130.3624057112,56861.480912642044,105223.71759588068,37369.541206691574,26973.82885448042
01/01/2006,,,,,,,,,,,,,,,,,,,,,,,
02/01/2006,,,,,,,,,,,,,,,,,,,,,,,
03/01/2006,,,,,,,,,,,,,,,,,,,,,,,
04/01/2006,,,,,,,,,,,,,,,,,,,,,,,
05/01/2006,,,,,,,,,,,,,,,,,,,,,,,
06/01/2006,,,,,,10077.10078125,10077.6830078125,10078.7255859375,,10078.7255859375,10078.7255859375,10078.7255859375,10078.7255859375,,,,,,,,32369.277669270832,10232.101196289062,10078.7255859375
07/01/2006,,22692.171875,,,,25471.2138671875,25222.26540798611,25561.0458984375,,,17976.0859375,22664.025634765625,20928.110677083332,,,23358.4755859375,23611.155029296875,23512.1533203125,,1566471.8958333333,1367983.720703125,18458.44189453125,26282.536512586805
08/01/2006,47629.28515625,42996.532552083336,,,,53890.62890625,53913.17734375,53926.98046875,,53926.98046875,53926.98046875,53641.31324404762,53370.75078125,51979.0,49855.020833333336,110360.77734375,102395.9833984375,226278.08046875,1022059.578125,328241.1109375,70528.91015625,34337.078369140625,49345.98919547872
09/01/2006,36636.90234375,36636.90234375,36636.90234375,36636.90234375,36636.90234375,36636.90234375,36636.90234375,,,,,27195.062474300987,23856.07497829861,33364.41796875,49737.88579963235,533354.8003216912,454408.78229166666,846268.5790441176,1443848.437109375,389610.2923177083,206330.066796875,16285.551839192709,32296.975917271204
10/01/2006,59925.875,59925.875,59925.875,59925.875,11613.51171875,13418.61767578125,27093.30206298828,47282.677734375,,58216.65904017857,53658.65546875,57204.03173076923,46901.572566105766,28664.38671875,26133.6337890625,83643.23074776786,184081.94986979166,506286.9775390625,1010799.4553571428,560849.2926432291,573891.2583372202,277879.7807513298,32885.074609375
11/01/2006,95973.40625,95973.40625,95973.40625,,95973.40625,95973.40625,95973.40625,95973.40625,,95973.40625,95973.40625,95973.40625,95973.40625,95973.40625,94213.28515625,84677.22243923611,73727.88920454546,72125.86077008929,270176.6779119318,87532.4951171875,82132.97912016368,134913.02406754033,267498.8216488487
12/01/2006,12434.017578125,12434.017578125,12434.017578125,12434.017578125,12434.017578125,12434.017578125,12434.017578125,,,,12434.017578125,12434.017578125,12434.017578125,,12434.017578125,12434.017578125,12434.017578125,12434.017578125,15580.395751953125,23216.62548828125,52353.05953414352,35088.984012276786,57652.50374571918
01/01/2007,72456.96875,72456.96875,72456.96875,72456.96875,,72456.96875,72456.96875,,,,72456.96875,72456.96875,72456.96875,72456.96875,72456.96875,58134.233072916664,66484.6025390625,57835.692708333336,211547.05208333334,130518.31119791667,53935.58161272322,64544.161207932695,72239.49794756356
02/01/2007,48039.96484375,48039.96484375,,48039.96484375,48039.96484375,48039.96484375,48039.96484375,,,,48039.96484375,48039.96484375,48039.96484375,,48039.96484375,48039.96484375,48039.96484375,48039.96484375,48039.96484375,,48039.96484375,48039.96484375,48039.965895432695
03/01/2007,,,,,,,,,,,,,,,,,,,,,53005.41943359375,,
04/01/2007,,,,,,,,,,,,,,,,,,,,,,,
05/01/2007,,,,,,,,,,,,,,,,,,,,,,,
06/01/2007,,,,,,,,,,,,,,,,,,,,,,,
07/01/2007,,,,,,,,,,,,,,,,,,,,,,,
08/01/2007,,,,,,,,,,,,,,,,,,,,,,,
09/01/2007,67244.265625,67244.265625,105221.453125,222456.95913461538,98906.13188244047,54074.1953125,62039.30884576613,66408.1953125,,66669.38541666667,65543.46310763889,65969.37881097561,64373.282924107145,38667.1796875,,52606.041015625,56585.193080357145,58937.99140625,77605.41796875,113949.0185546875,311248.20872961957,85756.30850497159,67244.265625
10/01/2007,117398.03515625,236253.33370535713,318118.328125,198951.2059659091,286025.4360491072,267478.913125,99049.36593191964,56639.767578125,,,52673.8046875,52508.63524590164,51514.50338541667,52673.8046875,,15612.093819754464,21751.216362847223,20247.7814453125,38859.0048828125,13454.5134765625,215764.42982700892,220973.1146875,54854.837431066175
11/01/2007,72879.939453125,69251.834375,57824.5966796875,48943.7265625,35149.99609375,29411.85216346154,23850.480536099138,,,13869.466796875,13869.466796875,13869.466796875,13869.466796875,13869.466796875,,,,,,,,,13869.466796875
12/01/2007,10656.01953125,10723.1486328125,10260.391927083334,,,,,,,,,,,,,,,,,,,,
01/01/2008,,,,,,,,,,,,,,,,,,,,,,,
02/01/2008,,,,,,,,,,,,,,,,,,,,,,,
03/01/2008,,,,,,,,,,,,,,,,,,,,,,,
04/01/2008,,,,,,,,,,,,,,,,,,,,,,,
05/01/2008,,,,,,,,,,,,,,,,,,,,,,,
06/01/2008,,,,,,,,,,,,,,,,,,,,,,,
07/01/2008,,,,,,,,,,,,,,,,,,,,,,,
08/01/2008,,,,,,,,,,,,,,,,,,,,,,,
09/01/2008,,,,,,,,,,,,,,,,,,,,,,,
10/01/2008,,,,,,,,,,,,,,,,,,,,,23298.654009650734,,
11/01/2008,,,,,,,,,,,,,,,,,,,,,11917.468098958334,22781.633373503988,31076.594556725544
12/01/2008,,,,,,,,,,,,,,,,,,,,,,,
01/01/2009,,,,,,,,,,,,,,,,,,,,,,,
02/01/2009,,,,,,,,,,,,,,,,,,,,,,,
03/01/2009,,,,,,,,,,,,,,,,,,,,,,,
04/01/2009,,,,,,,,,,,,,,,,,,,,,,,
05/01/2009,,,,,,,,,,,,,,,,,,,,,,,
06/01/2009,,,,,,,,,,,,,,,,,,,,,,,
07/01/2009,,,,,,,,,,,,,,,,,,,,,,,
08/01/2009,,,,,,,,,,,,,,,,,,,,,,,
09/01/2009,,,,,,,,,,,,,,,,,,,,,,,
10/01/2009,31596.994140625,31596.994140625,31596.994140625,31596.994140625,31596.994140625,31596.994140625,31596.994140625,31596.994140625,,31596.994140625,31596.994140625,31596.994140625,31596.994140625,,,31596.994140625,31596.994140625,,10740.18359375,36785.033203125,108992.62779017857,83645.62103456439,31596.994140625
11/01/2009,58724.05078125,58724.05078125,58724.05078125,58724.05078125,58724.05078125,58724.05078125,58724.05078125,,,58724.05078125,58724.05078125,58724.05078125,58724.05078125,58724.05078125,58724.05078125,58724.05078125,58724.05078125,58724.05078125,24833.61083984375,13467.9677734375,520268.2148844401,120428.2669005102,58724.05078125
12/01/2009,13639.904296875,13639.904296875,13639.904296875,13639.904296875,13639.904296875,13639.904296875,13639.904296875,,,13639.904296875,13639.904296875,13639.904296875,13639.904296875,13639.904296875,13639.904296875,13611.676449424342,13543.996438419117,13204.461160714285,15184.501495361328,14826.60107421875,13486.131869041314,13986.152140299479,14253.830062866211
01/01/2010,,,,,,,,,,,,,,,,,,,,,,,
02/01/2010,,,,,,,,,,,,,,,,,,,,,,,
03/01/2010,,,,,,,,,,,,,,,,,,,,,,,
04/01/2010,,,,,,,,,,,,,,,,,,,,,,,
05/01/2010,,,,,,,,,,,,,,,,,,,,,,,
06/01/2010,,,,,,,,,,,,,,,,,,,,,,,
07/01/2010,,,,,,,,,,,,,,,,,,,,,,,
08/01/2010,,,,,,,,,,,,,,,,,,,,,,,
09/01/2010,,,,,,,,,,,,,,,,,,,,,,,
10/01/2010,,,,,,,,,,,,,,,,,,,,,,,
11/01/2010,,,,,,,,,,,,,,,,,,,,,,,
12/01/2010,,,,,,,,,,,,,,,,,,,,,,,
01/01/2011,,,,,,,,,,,,,,,,,,,,,,,
02/01/2011,,,,,,,,,,,,,,,,,,,,,,,
03/01/2011,,,,,,,,,,,,,,,,,,,,,,,
04/01/2011,,,,,,,,,,,,,,,,,,,,,,,
05/01/2011,,,,,,,,,,,,,,,,,,,,,,,
06/01/2011,,,,,,,,,,,,,,,,,,,,,,,
07/01/2011,,,,,,,,,,,,,,,,,,,,,,,
08/01/2011,,,,,,,,,,,,,,,,,,,,,,,
09/01/2011,73902.84375,73902.84375,73902.84375,73902.84375,73902.84375,73902.84375,73902.84375,,,,73902.84375,73902.84375,73902.84375,,,42002.576497395836,62956.205729166664,54693.28459821428,214324.0,97322.659375,46778.40489783654,73902.84375,73902.84375
10/01/2011,166687.4375,166687.4375,166687.4375,166687.4375,166687.4375,166687.4375,166687.4375,,,,,166687.4375,166687.4375,,,166687.4375,166687.4375,166687.4375,112640.43004261363,528292.55625,988703.6431640625,166687.4375,166687.4375
11/01/2011,278667.125,278667.125,278667.125,278667.125,278667.125,278667.125,278667.125,,,,278667.125,278667.125,278667.125,278667.125,278667.125,278667.125,278667.125,278667.125,245780.9017857143,40538.472005208336,624495.2225341797,640274.3152777777,278667.125
12/01/2011,165160.125,165160.125,165160.125,165160.125,165160.125,165160.125,165160.125,,,,165160.125,165160.125,165160.125,165160.125,165160.125,165160.125,165160.125,165160.125,165160.125,165160.125,2014243.7231445312,378799.3756127451,176496.38822115384
01/01/2012,,,,,,,,,,,,,,,,,,,,,67387.15364583333,92323.93118990384,66634.6179547991
02/01/2012,,,,,,,,,,,,,,,,,,,,,,,
03/01/2012,,,,,,,,,,,,,,,,,,,,,,,
04/01/2012,,,,,,,,,,,,,,,,,,,,,,,
05/01/2012,,,,,,,,,,,,,,,,,,,,,,,
06/01/2012,,,,,,,,,,,,,,,,,,,,,,,
07/01/2012,,,,,,,,,,,,,,,,,,,,,,,
08/01/2012,,,,,,,,,,,,,,,,,,,,,,,
09/01/2012,,,,,,,,,,,,,,,,,,,,10574.365234375,,,
10/01/2012,,,,,163986.58413461538,168439.2484375,,,,,,,,,,141476.03125,139732.9875,219491.462890625,429359.97569444444,793181.884765625,222739.1113556338,184372.02478448275,181125.828125
11/01/2012,,,,,,,,,,,,,,,,,,,,320966.328125,530642.3138586957,47344.44411057692,
12/01/2012,,,,,,,,,,,,,,,,,,,,62991.05859375,79010.50983796296,64445.74560546875,
01/01/2013,,,,,,,,,,,,,,,,,14832.614908854166,47662.148763020836,326744.88643973216,1160997.9580078125,657313.4000756048,315518.3203125,
02/01/2013,,,,,,,,,,,,,,,,,,,201634.578125,674455.4046875,620421.3246875,737965.4829545454,
03/01/2013,,,,,,,,,,,,,,,,,,,,,,,
04/01/2013,,,,,,,,,,,,,,,,,,,,,,,
05/01/2013,,,,,,,,,,,,,,,,,,,,,,,
06/01/2013,,,,,,,,,,,,,,,,,,,,,,,
07/01/2013,,,,,,,,,,,,,,,,,,,,,,,
08/01/2013,,,,,,,,,,,,,,,,,,,,,,,
09/01/2013,,,,,,,,,,,,,,,,,,,,,,,
10/01/2013,,,,,,,,,,,,,,,,,,,,,,,
11/01/2013,,,,,,,,,,,,,,,,,,,,14721.18359375,83404.24525669643,53902.114013671875,
12/01/2013,,,,,,,,,,,,,,,,,,,,,,,
01/01/2014,,,,,,,,,,,,,,,,,,,,,,,
02/01/2014,,,,,,,,,,,,,,,,,,,,,,,
03/01/2014,,,,,,,,,,,,,,,,,,,,,,,
04/01/2014,,,,,,,,,,,,,,,,,,,,,,,
05/01/2014,,,,,,,,,,,,,,,,,,,,,,,
06/01/2014,,,,,,,,,,,,,,,,,,,,,,,
07/01/2014,,,,,,,72486.26116071429,,,76804.0234375,118981.52964154411,784768.5725806452,,,1137343.2666666666,,,,,,,,
08/01/2014,,,,,,,15774.67587002841,,,,45077.00842013889,145338.9364224138,73034.19958496094,114082.5107421875,235412.08651518487,59821.87346540178,,,,,,,
09/01/2014,,,,,,,83072.11767578125,,,280528.4625,723201.2530048077,47710.43185763889,14578.7314453125,,,,,,,,,,
10/01/2014,,,,,,,10091.4443359375,,,21205.57802734375,23583.704956054688,,,,,,,,,,104062.880859375,,
11/01/2014,,,,,11669.104248046875,,,,,,,,,,,,,,,10773.927734375,53751.04880541424,66786.38615689213,201284.39242788462
12/01/2014,,,,,,,,,,,,,,,,,,,,,,,
01/01/2015,,,,,,,,,,,,,,,,,,,,,,,
02/01/2015,,,,,,,,,,,,,,,,,,,,,,,
03/01/2015,,,,,,,,,,,,,,,,,,,,,,,
04/01/2015,,,,,,,,,,,,,,,,,,,,,,,
05/01/2015,,,,,,,,,,,,,,,,,,,,,,,
06/01/2015,,,,,,,,,,,,,,,,,,,,,,,
07/01/2015,,,,,,,,,,,,,,,,,,,,,,,
08/01/2015,,,,,,,,,,,,,,,,,,,,,,,
09/01/2015,,,,,37796.44359375,40150.82109375,37079.10546875,,,,,,,,,,,,,,,,
10/01/2015,,,252134.83463541666,144236.67094983553,577122.6515213816,189075.75264246322,,,,,,,,,,11767.959309895834,18709.1708984375,38452.520182291664,326335.82286658656,29414.669053819445,15351.0796875,11666.33544921875,
11/01/2015,,,435867.93055555556,377678.421875,1457305.6607142857,2976014.1666666665,,,,,,,,,,58566.62737165178,128218.7109375,575427.4934895834,679101.2046274039,80657.5634765625,19382.403842659885,13003.405859375,
12/01/2015,,,,,1138858.0845588236,207887.6388392857,45456.432291666664,,,,,,,,,141095.44075520834,161497.59635416666,182948.0390625,75033.94603587964,85745.30881076389,74588.43963788007,30626.416870117188,
01/01/2016,,,,,,,,,,,,,,,,,,132695.6869419643,145451.63020833334,161850.5984375,144497.19162946427,68452.7578125,
02/01/2016,,,,,,,,,,,,,,,,,,,,241354.403125,260909.2775,258367.71056547618,
03/01/2016,,,,,,,,,,,,,,,,,,,,,,,
04/01/2016,,,,,,,,,,,,,,,,,,,,,,,
05/01/2016,,,,,,,,,,,,,,,,,,,,,,,
06/01/2016,,,,,,,,,,,,,,,,,,,,,,,
07/01/2016,,,,,,,,,,,,,,,,,,,,,,,
08/01/2016,,,,,,,,,,,,,,,,,,,,,,,
09/01/2016,,,,,,,,,,,,,,,,119098.37611607143,139420.4578125,359387.87890625,732436.0641447369,270540.5546875,96039.35477120536,100312.62673611111,
10/01/2016,,,,,,,,,,,,,,,,391613.326171875,699432.8375,721412.5298295454,465589.80497685185,464169.57899305556,347554.91558159725,185150.59419177828,350031.21995192306
11/01/2016,,,,,,,,,,,,,,,,61965.181640625,47529.669270833336,169466.23217773438,323104.8782552083,623405.15625,105269.46860351562,68127.43091088599,54538.03497149493
12/01/2016,,,,,,,,,,,,,,,,326787.41796875,260627.35416666666,368729.3489583333,228956.0703125,127146.1390625,70779.73171875,27599.131315104165,60414.19921875
01/01/2017,,,,,,,,,,,,,,,,,,,,,,,
02/01/2017,,,,,,,,,,,,,,,,,,,,,,,
