LAND_YEAR,COMMON_NAME,guild,total_live_lbs,total_dollars,n_dealers,is_confidential
2002,"JACK, BLACK",Jacks,86.64,37.25,3,FALSE
2002,"JACK, CREVALLE",Jacks,351125.7,199799.74,71,FALSE
2002,"JACK, YELLOW",Jacks,606.6,831.27,5,FALSE
2002,JACKKNIFE-FISH,Jacks,491,1858.5,11,FALSE
2002,"PARROTFISH, PRINCESS",Other Reef Fish,66,345.5,4,FALSE
2002,"PARROTFISH, REDBAND",Other Reef Fish,52,336.32,3,FALSE
2002,"PARROTFISH, STOPLIGHT",Other Reef Fish,23,174.99,3,FALSE
2002,"PARROTFISH, STRIPED",Other Reef Fish,235,681.05,3,FALSE
2002,"PORGY, JOLTHEAD",Porgies & Grunts,1570.26,1271.13,11,FALSE
2002,"PORGY, KNOBBED",Porgies & Grunts,34815.88,21606.55,7,FALSE
2002,"PORGY, RED",Porgies & Grunts,102564.1,109668.3,52,FALSE
2002,"PORGY, WHITEBONE",Porgies & Grunts,3169,2559.65,13,FALSE
2002,"SNAPPER, BLACK",Snappers & Groupers,24176.61,38480.17,21,FALSE
2002,"SNAPPER, BLACKFIN",Snappers & Groupers,2229.23,3856.4,13,FALSE
2002,"SNAPPER, CUBERA",Snappers & Groupers,832.5,865.09,9,FALSE
2002,"SNAPPER, DOG",Snappers & Groupers,578.36,406.2,4,FALSE
2002,"SNAPPER, LANE",Snappers & Groupers,53014.26,92369.8,106,FALSE
2002,"SNAPPER, QUEEN",Snappers & Groupers,11667.65,20871.83,21,FALSE
2002,"SNAPPER, SILK",Snappers & Groupers,46653.48,98149.91,38,FALSE
2002,"TILEFISH, BLUELINE",Other Reef Fish,60749.86,51570.49,28,FALSE
2002,"TILEFISH, GOLDEN",Other Reef Fish,530849.08,762481.28,43,FALSE
2002,"TILEFISH, GOLDFACE",Other Reef Fish,20996.36,32209.3,8,FALSE
2002,"TILEFISH, SAND",Other Reef Fish,7.72,4.5,3,FALSE
2002,"TRIGGERFISH, QUEEN",Other Reef Fish,1101.56,1347.3,5,FALSE
2002,"WRASSE, CLOWN",Other Reef Fish,20,32.58,4,FALSE
2003,"AMBERJACK, LESSER",Jacks,73144.13,73732.89,46,FALSE
2003,GRAYSBY,Snappers & Groupers,23.990000000000002,61.9,6,FALSE
2003,"GROUPER, BLACK",Snappers & Groupers,365229.25,896655.62,97,FALSE
2003,"GROUPER, MARBLED",Snappers & Groupers,3063.3,5990,16,FALSE
2003,"GROUPER, MISTY",Snappers & Groupers,414.18,928.3,5,FALSE
2003,"GROUPER, SNOWY",Snappers & Groupers,216390.83000000002,441670.71,58,FALSE
2003,"GROUPER, WARSAW",Snappers & Groupers,251073.66,475165.65,74,FALSE
2003,"GROUPER, YELLOWFIN",Snappers & Groupers,4886.49,9477.2,18,FALSE
2003,"GRUNT, FRENCH",Porgies & Grunts,28,59.25,4,FALSE
2003,"HIND, RED",Snappers & Groupers,3072.47,5536.86,33,FALSE
2003,"HIND, ROCK",Snappers & Groupers,514.48,932.9,9,FALSE
2003,"HIND, SPECKLED",Snappers & Groupers,82178.21,151567.16,45,FALSE
2003,"HOGFISH, SPANISH",Other Reef Fish,78,575.46,7,FALSE
2003,"JACK, ALMACO",Jacks,36342.93,30200.19,44,FALSE
2003,"JACK, BAR",Jacks,43206.33,38057.57,43,FALSE
2003,"JACK, CREVALLE",Jacks,501694.78,300282.45,63,FALSE
2003,"JACK, HORSE-EYE",Jacks,125.60000000000001,62.3,3,FALSE
2003,JACKKNIFE-FISH,Jacks,686,3617.2,10,FALSE
2003,"PARROTFISH, STRIPED",Other Reef Fish,110,328.5,3,FALSE
2003,"PORGY, JOLTHEAD",Porgies & Grunts,3775.2200000000003,2939.05,16,FALSE
2003,"PORGY, KNOBBED",Porgies & Grunts,21497.78,12810.72,10,FALSE
2003,"PORGY, RED",Porgies & Grunts,104184.48,111450.29000000001,48,FALSE
2003,"PORGY, WHITEBONE",Porgies & Grunts,10912.48,9921,13,FALSE
2003,"SNAPPER, BLACK",Snappers & Groupers,3440.95,4374.5,15,FALSE
2003,"SNAPPER, BLACKFIN",Snappers & Groupers,2376.52,4224.93,14,FALSE
2003,"SNAPPER, CUBERA",Snappers & Groupers,1719.6200000000001,2153.35,8,FALSE
2003,"SNAPPER, LANE",Snappers & Groupers,50816.22,83868.015,98,FALSE
2003,"SNAPPER, MAHOGANY",Snappers & Groupers,32.19,55.8,3,FALSE
2003,"SNAPPER, QUEEN",Snappers & Groupers,9694.54,19518.37,33,FALSE
2003,"SNAPPER, SILK",Snappers & Groupers,30880.2,68237.84,41,FALSE
2003,"TILEFISH, BLUELINE",Other Reef Fish,95842.31,75993.24,35,FALSE
2003,"TILEFISH, GOLDEN",Other Reef Fish,401369.99,598421.23,48,FALSE
2003,"TILEFISH, GOLDFACE",Other Reef Fish,38037.42,54693.11,11,FALSE
2003,"TILEFISH, SAND",Other Reef Fish,22.400000000000002,12.25,3,FALSE
2003,"TRIGGERFISH, QUEEN",Other Reef Fish,35,40.7,3,FALSE
2003,"TUNA, SKIPJACK",Jacks,189.86,588.55,3,FALSE
2003,"WRASSE, CLOWN",Other Reef Fish,6,9.9,3,FALSE
2003,"WRASSE, YELLOWHEAD",Other Reef Fish,34,67,3,FALSE
2004,"AMBERJACK, LESSER",Jacks,67749.54000000001,73554.9,42,FALSE
2004,GRAYSBY,Snappers & Groupers,60.92,157.15,5,FALSE
2004,"GROUPER, BLACK",Snappers & Groupers,371909.81,910087.38,96,FALSE
2004,"GROUPER, MARBLED",Snappers & Groupers,3660.36,7655.1500000000005,12,FALSE
2004,"GROUPER, SNOWY",Snappers & Groupers,182392.77,373312.23,52,FALSE
2004,"GROUPER, WARSAW",Snappers & Groupers,166574.45,311767.17,68,FALSE
2004,"GROUPER, YELLOWFIN",Snappers & Groupers,6257.81,14636.4,19,FALSE
2004,"GROUPER, YELLOWMOUTH",Snappers & Groupers,522.86,1452.9,5,FALSE
2004,"GRUNT, FRENCH",Porgies & Grunts,35,107,3,FALSE
2004,"HIND, RED",Snappers & Groupers,6949.41,12113.65,34,FALSE
2004,"HIND, ROCK",Snappers & Groupers,385.86,589.0500000000001,12,FALSE
2004,"HIND, SPECKLED",Snappers & Groupers,101822.06,200401.43,38,FALSE
2004,"HOGFISH, SPANISH",Other Reef Fish,62,219.65,4,FALSE
2004,"JACK, ALMACO",Jacks,27746.86,23939.29,33,FALSE
2004,"JACK, BAR",Jacks,43138.91,30738.23,44,FALSE
2004,"JACK, BLACK",Jacks,188.24,82,3,FALSE
2004,"JACK, CREVALLE",Jacks,340649.46,205676.15,65,FALSE
2004,"JACK, HORSE-EYE",Jacks,354.72,167.05,5,FALSE
2004,"JACK, YELLOW",Jacks,610.95,384.3,4,FALSE
2004,JACKKNIFE-FISH,Jacks,445,2265.5,8,FALSE
2004,"PARROTFISH, PRINCESS",Other Reef Fish,21,165.75,4,FALSE
2004,"PARROTFISH, RAINBOW",Other Reef Fish,15,178,3,FALSE
2004,"PORGY, JOLTHEAD",Porgies & Grunts,5622.74,4325.24,25,FALSE
2004,"PORGY, KNOBBED",Porgies & Grunts,32023.850000000002,16145.49,21,FALSE
2004,"PORGY, RED",Porgies & Grunts,114008.67,118023.67,53,FALSE
2004,"PORGY, WHITEBONE",Porgies & Grunts,9521.8,10057.89,12,FALSE
2004,"SNAPPER, BLACK",Snappers & Groupers,8438.42,12790.57,13,FALSE
2004,"SNAPPER, BLACKFIN",Snappers & Groupers,3787.32,7326.25,17,FALSE
2004,"SNAPPER, CUBERA",Snappers & Groupers,1376.41,1550.09,14,FALSE
2004,"SNAPPER, DOG",Snappers & Groupers,1442.22,875.65,6,FALSE
2004,"SNAPPER, LANE",Snappers & Groupers,42483.19,70969.27,101,FALSE
2004,"SNAPPER, QUEEN",Snappers & Groupers,7901.610000000001,15924.4,31,FALSE
2004,"SNAPPER, SILK",Snappers & Groupers,34373.8,79037.99,41,FALSE
2004,"TILEFISH, BLUELINE",Other Reef Fish,129764.36,106814.62,33,FALSE
2004,"TILEFISH, GOLDEN",Other Reef Fish,464239.16000000003,665845.28,47,FALSE
2004,"TILEFISH, GOLDFACE",Other Reef Fish,84590.76,111841.8,8,FALSE
2004,"TILEFISH, SAND",Other Reef Fish,72.2,38.84,5,FALSE
2004,"TRIGGERFISH, QUEEN",Other Reef Fish,461.24,518.9,4,FALSE
2004,"TUNA, SKIPJACK",Jacks,1055.75,599.2,7,FALSE
2005,"AMBERJACK, LESSER",Jacks,43785.840000000004,51798.7,26,FALSE
2005,GRAYSBY,Snappers & Groupers,17.28,28.200000000000003,4,FALSE
2005,"GROUPER, BLACK",Snappers & Groupers,217697.31,556546.8895,82,FALSE
2005,"GROUPER, CONEY",Snappers & Groupers,12.18,86,3,FALSE
2005,"GROUPER, MARBLED",Snappers & Groupers,3427.96,6996.05,8,FALSE
2005,"GROUPER, SNOWY",Snappers & Groupers,184059.13,401221.39,50,FALSE
2005,"GROUPER, WARSAW",Snappers & Groupers,161493.07,332666.03,63,FALSE
2005,"GROUPER, YELLOWFIN",Snappers & Groupers,6676.04,17093.800000000003,13,FALSE
2005,"GROUPER, YELLOWMOUTH",Snappers & Groupers,574.66,1275.15,5,FALSE
2005,"HIND, RED",Snappers & Groupers,2481.23,3940.8,25,FALSE
2005,"HIND, ROCK",Snappers & Groupers,234.5,335.15,11,FALSE
2005,"HIND, SPECKLED",Snappers & Groupers,88999.5,181246.27000000002,41,FALSE
2005,"HOGFISH, SPANISH",Other Reef Fish,4,8.85,3,FALSE
2005,"JACK, ALMACO",Jacks,18738.97,17085.71,34,FALSE
2005,"JACK, BAR",Jacks,31286.03,24101.841,41,FALSE
2005,"JACK, CREVALLE",Jacks,243563.56,155306.91,62,FALSE
2005,"JACK, HORSE-EYE",Jacks,51.92,19.8,3,FALSE
2005,"JACK, YELLOW",Jacks,166,98.25,6,FALSE
2005,JACKKNIFE-FISH,Jacks,642,3109.5,9,FALSE
2005,"PARROTFISH, MIDNIGHT",Other Reef Fish,26,211,3,FALSE
2005,"PARROTFISH, PRINCESS",Other Reef Fish,96,335.5,4,FALSE
2005,"PARROTFISH, RAINBOW",Other Reef Fish,20,207,3,FALSE
2005,"PORGY, JOLTHEAD",Porgies & Grunts,6816.09,6586.75,26,FALSE
2005,"PORGY, KNOBBED",Porgies & Grunts,6929.54,4495.22,18,FALSE
2005,"PORGY, RED",Porgies & Grunts,72492.6,72678.147,51,FALSE
2005,"PORGY, WHITEBONE",Porgies & Grunts,6806.48,6838.1900000000005,12,FALSE
2005,"SNAPPER, BLACK",Snappers & Groupers,3978.63,5562.36,12,FALSE
2005,"SNAPPER, BLACKFIN",Snappers & Groupers,3409.93,6954,13,FALSE
2005,"SNAPPER, CUBERA",Snappers & Groupers,744.26,1018.45,7,FALSE
2005,"SNAPPER, DOG",Snappers & Groupers,786.49,971.46,9,FALSE
2005,"SNAPPER, LANE",Snappers & Groupers,40058.8,75426.42,87,FALSE
2005,"SNAPPER, QUEEN",Snappers & Groupers,13179.73,29070.77,32,FALSE
2005,"SNAPPER, SILK",Snappers & Groupers,26467.3,61957.340000000004,40,FALSE
2005,"TILEFISH, BLUELINE",Other Reef Fish,94422.14,82812.28,40,FALSE
2005,"TILEFISH, GOLDEN",Other Reef Fish,576007.38,949067.14,45,FALSE
2005,"TILEFISH, GOLDFACE",Other Reef Fish,34771.520000000004,51856.15,6,FALSE
2005,"TILEFISH, SAND",Other Reef Fish,54.88,33.8,5,FALSE
2005,"TRIGGERFISH, QUEEN",Other Reef Fish,201,118.95,4,FALSE
2005,"TUNA, SKIPJACK",Jacks,637,143.3,3,FALSE
2006,"AMBERJACK, LESSER",Jacks,40576.62,48083.22,24,FALSE
2006,GRAYSBY,Snappers & Groupers,43.47,98.02000000000001,4,FALSE
2006,"GROUPER, BLACK",Snappers & Groupers,159033.87,456280.96,83,FALSE
2006,"GROUPER, MARBLED",Snappers & Groupers,2612.7,6330.5999999999995,7,FALSE
2006,"GROUPER, MISTY",Snappers & Groupers,118.6,277.6,4,FALSE
2006,"GROUPER, SNOWY",Snappers & Groupers,172053.67,396124.26,49,FALSE
2006,"GROUPER, WARSAW",Snappers & Groupers,138820.79,308142.76,52,FALSE
2006,"GROUPER, YELLOWFIN",Snappers & Groupers,688.91,1838.65,9,FALSE
2006,"HIND, RED",Snappers & Groupers,1456.4,2566.42,23,FALSE
2006,"HIND, ROCK",Snappers & Groupers,172.26,328.28000000000003,11,FALSE
2006,"HIND, SPECKLED",Snappers & Groupers,65213.31,146459.1,35,FALSE
2006,"HOGFISH, SPANISH",Other Reef Fish,37,252,4,FALSE
2006,"JACK, ALMACO",Jacks,15072.130000000001,15737.11,27,FALSE
2006,"JACK, BAR",Jacks,29669.99,24024.21,40,FALSE
2006,"JACK, CREVALLE",Jacks,381824.98,264468.46,68,FALSE
2006,"JACK, HORSE-EYE",Jacks,195.76000000000002,145.35,5,FALSE
2006,"JACK, YELLOW",Jacks,844,464.25,5,FALSE
2006,JACKKNIFE-FISH,Jacks,431,2738,7,FALSE
2006,"PARROTFISH, STRIPED",Other Reef Fish,17,107.7,4,FALSE
2006,"PORGY, JOLTHEAD",Porgies & Grunts,4260.7300000000005,4048.33,25,FALSE
2006,"PORGY, KNOBBED",Porgies & Grunts,3783.34,3446.2000000000003,17,FALSE
2006,"PORGY, RED",Porgies & Grunts,102859.31,113803.38,54,FALSE
2006,"PORGY, WHITEBONE",Porgies & Grunts,6184.48,7661.1,12,FALSE
2006,"SNAPPER, BLACK",Snappers & Groupers,6429.26,8593.68,14,FALSE
2006,"SNAPPER, BLACKFIN",Snappers & Groupers,6046.3,13140.9,9,FALSE
2006,"SNAPPER, CUBERA",Snappers & Groupers,1075.81,1417.01,10,FALSE
2006,"SNAPPER, DOG",Snappers & Groupers,1513.09,1010.44,5,FALSE
2006,"SNAPPER, LANE",Snappers & Groupers,49479.68,97038.36,94,FALSE
2006,"SNAPPER, QUEEN",Snappers & Groupers,6207.46,14732.2,21,FALSE
2006,"SNAPPER, SILK",Snappers & Groupers,16510.31,41184.18,35,FALSE
2006,"TILEFISH, BLUELINE",Other Reef Fish,124577.43000000001,102634.04,37,FALSE
2006,"TILEFISH, GOLDEN",Other Reef Fish,297200.91000000003,471553.63,40,FALSE
2006,"TILEFISH, GOLDFACE",Other Reef Fish,28711.36,41310.700000000004,3,FALSE
2006,"TILEFISH, SAND",Other Reef Fish,17.92,12.3,4,FALSE
2006,"TRIGGERFISH, QUEEN",Other Reef Fish,16.32,163.2,3,FALSE
2006,"WRASSE, CLOWN",Other Reef Fish,36,106.73,3,FALSE
2006,"WRASSE, CREOLE",Other Reef Fish,76,279.98,3,FALSE
2006,"WRASSE, YELLOWHEAD",Other Reef Fish,50,97.05,3,FALSE
2007,"AMBERJACK, LESSER",Jacks,26702.2,34020.15,18,FALSE
2007,"GROUPER, BLACK",Snappers & Groupers,110444.63,340877.63,73,FALSE
2007,"GROUPER, MARBLED",Snappers & Groupers,5597.92,11911.95,6,FALSE
2007,"GROUPER, MISTY",Snappers & Groupers,92.03999999999999,168.25,4,FALSE
2007,"GROUPER, SNOWY",Snappers & Groupers,177857.27,474238.08,48,FALSE
2007,"GROUPER, WARSAW",Snappers & Groupers,89185.95,198918.67,44,FALSE
2007,"GROUPER, YELLOWFIN",Snappers & Groupers,6691.88,17515.05,9,FALSE
2007,"HIND, RED",Snappers & Groupers,1612.7,3531.56,24,FALSE
2007,"HIND, ROCK",Snappers & Groupers,343.38,630.36,9,FALSE
2007,"HIND, SPECKLED",Snappers & Groupers,81193.93000000001,222014.76,38,FALSE
2007,"HOGFISH, SPANISH",Other Reef Fish,32,196.5,4,FALSE
2007,"JACK, ALMACO",Jacks,30568.15,30612.33,23,FALSE
2007,"JACK, BAR",Jacks,45932.53,37233.44,36,FALSE
2007,"JACK, CREVALLE",Jacks,310012.67,211958.22,58,FALSE
2007,JACKKNIFE-FISH,Jacks,249,1259.5,7,FALSE
2007,"PARROTFISH, PRINCESS",Other Reef Fish,56,301,4,FALSE
2007,"PORGY, JOLTHEAD",Porgies & Grunts,3060.2200000000003,2764.13,16,FALSE
2007,"PORGY, KNOBBED",Porgies & Grunts,2234.9,1504.46,12,FALSE
2007,"PORGY, RED",Porgies & Grunts,147579.88,157917.58000000002,38,FALSE
2007,"PORGY, WHITEBONE",Porgies & Grunts,10896.4,14010.95,11,FALSE
2007,"SNAPPER, BLACK",Snappers & Groupers,1051.17,1345.5,9,FALSE
2007,"SNAPPER, BLACKFIN",Snappers & Groupers,7429.25,19119.58,9,FALSE
2007,"SNAPPER, CUBERA",Snappers & Groupers,1103.97,1828.26,11,FALSE
2007,"SNAPPER, DOG",Snappers & Groupers,1080.95,788.75,4,FALSE
2007,"SNAPPER, LANE",Snappers & Groupers,28696.16,60243.89,78,FALSE
2007,"SNAPPER, QUEEN",Snappers & Groupers,7987.46,19634.33,22,FALSE
2007,"SNAPPER, SILK",Snappers & Groupers,23249.58,64026.28,35,FALSE
2007,"TILEFISH, BLUELINE",Other Reef Fish,129539.05,112971.12,33,FALSE
2007,"TILEFISH, GOLDEN",Other Reef Fish,320584.44,536044.95,32,FALSE
2008,"AMBERJACK, LESSER",Jacks,24126.38,32018.05,16,FALSE
2008,"GROUPER, BLACK",Snappers & Groupers,65557.73,206039.59,70,FALSE
2008,"GROUPER, MARBLED",Snappers & Groupers,7769.12,16719.350000000002,6,FALSE
2008,"GROUPER, SNOWY",Snappers & Groupers,200250.54,518446.91000000003,49,FALSE
2008,"GROUPER, WARSAW",Snappers & Groupers,89860.57,228999.8,41,FALSE
2008,"GROUPER, YELLOWFIN",Snappers & Groupers,2463.59,6139.35,8,FALSE
2008,"HIND, RED",Snappers & Groupers,1994.91,4450.59,22,FALSE
2008,"HIND, ROCK",Snappers & Groupers,252.23000000000002,517.5,16,FALSE
2008,"HIND, SPECKLED",Snappers & Groupers,41232.54,101889.86,33,FALSE
2008,"HOGFISH, SPANISH",Other Reef Fish,44,260,5,FALSE
2008,"JACK, ALMACO",Jacks,24122.47,26770.45,20,FALSE
2008,"JACK, BAR",Jacks,88476.08,74830.32,43,FALSE
2008,"JACK, CREVALLE",Jacks,276721.42,206855.55000000002,55,FALSE
2008,"JACK, YELLOW",Jacks,6741.5,3831,6,FALSE
2008,JACKKNIFE-FISH,Jacks,607,3516,10,FALSE
2008,"PARROTFISH, PRINCESS",Other Reef Fish,80,259,5,FALSE
2008,"PARROTFISH, STOPLIGHT",Other Reef Fish,6,16.5,3,FALSE
2008,"PORGY, JOLTHEAD",Porgies & Grunts,2569.15,1735.05,20,FALSE
2008,"PORGY, KNOBBED",Porgies & Grunts,2089.94,1770.3500000000001,11,FALSE
2008,"PORGY, RED",Porgies & Grunts,143144.13,156661.373,44,FALSE
2008,"PORGY, WHITEBONE",Porgies & Grunts,10612,14728.9,7,FALSE
2008,"SNAPPER, BLACK",Snappers & Groupers,358.53000000000003,671.2,4,FALSE
2008,"SNAPPER, BLACKFIN",Snappers & Groupers,3410.4900000000002,8068.65,9,FALSE
2008,"SNAPPER, CUBERA",Snappers & Groupers,621.53,1055.46,10,FALSE
2008,"SNAPPER, DOG",Snappers & Groupers,682.35,590.85,5,FALSE
2008,"SNAPPER, LANE",Snappers & Groupers,25348.88,53747.83,81,FALSE
2008,"SNAPPER, QUEEN",Snappers & Groupers,13478.470000000001,31141.91,26,FALSE
2008,"SNAPPER, SILK",Snappers & Groupers,18944.13,47985.05,28,FALSE
2008,"TILEFISH, BLUELINE",Other Reef Fish,165645.89,136312.87,36,FALSE
2008,"TILEFISH, GOLDEN",Other Reef Fish,327488.73,549175.14,30,FALSE
2008,"TILEFISH, GOLDFACE",Other Reef Fish,30660,48326.55,4,FALSE
2008,"TILEFISH, SAND",Other Reef Fish,157.7,103.4,9,FALSE
2008,"TUNA, SKIPJACK",Jacks,101.25,143.5,3,FALSE
2008,"WRASSE, CLOWN",Other Reef Fish,38,67.95,3,FALSE
2008,"WRASSE, YELLOWHEAD",Other Reef Fish,44,144.75,3,FALSE
2009,"AMBERJACK, LESSER",Jacks,46477.81,56625.58,19,FALSE
2009,GRAYSBY,Snappers & Groupers,627.0500000000001,1969.4,5,FALSE
2009,"GROUPER, BLACK",Snappers & Groupers,39699.76,125375.76,58,FALSE
2009,"GROUPER, MARBLED",Snappers & Groupers,5642.76,11538.15,5,FALSE
2009,"GROUPER, SNOWY",Snappers & Groupers,185889.35,436607.45,44,FALSE
2009,"GROUPER, WARSAW",Snappers & Groupers,118754.65,300525.09,40,FALSE
2009,"GROUPER, YELLOWFIN",Snappers & Groupers,1962.43,5121.47,10,FALSE
2009,"HIND, RED",Snappers & Groupers,1923.99,3694.1,25,FALSE
2009,"HIND, ROCK",Snappers & Groupers,472.73,890.7,16,FALSE
2009,"HIND, SPECKLED",Snappers & Groupers,68759.82,149405.75,32,FALSE
2009,"HOGFISH, SPANISH",Other Reef Fish,21,165.5,5,FALSE
2009,"JACK, ALMACO",Jacks,37732.36,38523.04,35,FALSE
2009,"JACK, BAR",Jacks,66865.21,57703.36,37,FALSE
2009,"JACK, CREVALLE",Jacks,333043.64,237640.79,52,FALSE
2009,"JACK, YELLOW",Jacks,6618.5,6180.85,5,FALSE
2009,JACKKNIFE-FISH,Jacks,360,2595.4,11,FALSE
2009,"PORGY, JOLTHEAD",Porgies & Grunts,4369.33,3313.82,23,FALSE
2009,"PORGY, KNOBBED",Porgies & Grunts,2045.1,2211.28,7,FALSE
2009,"PORGY, RED",Porgies & Grunts,244568.24,269478.52,45,FALSE
2009,"PORGY, WHITEBONE",Porgies & Grunts,14245.04,18751.75,5,FALSE
2009,"SNAPPER, BLACK",Snappers & Groupers,124.32000000000001,206.75,5,FALSE
2009,"SNAPPER, BLACKFIN",Snappers & Groupers,1739.38,3730.35,11,FALSE
2009,"SNAPPER, CUBERA",Snappers & Groupers,1522.06,2303.5,7,FALSE
2009,"SNAPPER, DOG",Snappers & Groupers,318.51,333.95,5,FALSE
2009,"SNAPPER, LANE",Snappers & Groupers,35902.75,79539.28,95,FALSE
2009,"SNAPPER, QUEEN",Snappers & Groupers,10382.1,24674.7,25,FALSE
2009,"SNAPPER, SILK",Snappers & Groupers,19181.2,47266.54,28,FALSE
2009,"TILEFISH, BLUELINE",Other Reef Fish,112558.99,88825.87,34,FALSE
2009,"TILEFISH, GOLDEN",Other Reef Fish,504392.88,755880.89,31,FALSE
2009,"TILEFISH, SAND",Other Reef Fish,67.54,56,8,FALSE
2009,"TUNA, SKIPJACK",Jacks,399.25,216.5,4,FALSE
2009,"WRASSE, CLOWN",Other Reef Fish,11,22.75,3,FALSE
2009,"WRASSE, YELLOWHEAD",Other Reef Fish,68,131,4,FALSE
2010,"AMBERJACK, LESSER",Jacks,26996.3,35391.700000000004,17,FALSE
2010,GRAYSBY,Snappers & Groupers,256.84000000000003,703.6518,4,FALSE
2010,"GROUPER, BLACK",Snappers & Groupers,24992.66,83257.5,46,FALSE
2010,"GROUPER, SNOWY",Snappers & Groupers,101940.89,266427.56,39,FALSE
2010,"GROUPER, WARSAW",Snappers & Groupers,64571.46,141730.6,34,FALSE
2010,"GROUPER, YELLOWFIN",Snappers & Groupers,1747.65,4359.3,11,FALSE
2010,"HIND, RED",Snappers & Groupers,1152.45,2643.66,22,FALSE
2010,"HIND, ROCK",Snappers & Groupers,227.95,636.58,15,FALSE
2010,"HIND, SPECKLED",Snappers & Groupers,18385.13,46498.57,33,FALSE
2010,"JACK, ALMACO",Jacks,27895.25,28302.89,21,FALSE
2010,"JACK, BAR",Jacks,37050.22,33599.49,31,FALSE
2010,"JACK, CREVALLE",Jacks,300112.03,207113.59,61,FALSE
2010,JACKKNIFE-FISH,Jacks,320,1844.5,6,FALSE
2010,"PORGY, JOLTHEAD",Porgies & Grunts,8081.99,4721.2,17,FALSE
2010,"PORGY, KNOBBED",Porgies & Grunts,1865.95,2136.13,7,FALSE
2010,"PORGY, RED",Porgies & Grunts,178858.36000000002,213490.1736,40,FALSE
2010,"PORGY, WHITEBONE",Porgies & Grunts,453.24,513,4,FALSE
2010,"SNAPPER, BLACK",Snappers & Groupers,3236.13,6810,3,FALSE
2010,"SNAPPER, BLACKFIN",Snappers & Groupers,2285.5,5256.58,7,FALSE
2010,"SNAPPER, CUBERA",Snappers & Groupers,1217.83,2123.77,14,FALSE
2010,"SNAPPER, DOG",Snappers & Groupers,559.67,867.25,5,FALSE
2010,"SNAPPER, LANE",Snappers & Groupers,17266.29,42559.0368,70,FALSE
2010,"SNAPPER, QUEEN",Snappers & Groupers,4037.94,8804,17,FALSE
2010,"SNAPPER, SILK",Snappers & Groupers,32637.62,89683.58,27,FALSE
2010,"TILEFISH, BLUELINE",Other Reef Fish,33069.57,39741.3,19,FALSE
2010,"TILEFISH, GOLDEN",Other Reef Fish,243130.95,493312.41000000003,26,FALSE
2011,"AMBERJACK, LESSER",Jacks,6414.25,7043.35,12,FALSE
2011,"GROUPER, BLACK",Snappers & Groupers,43443.23,153505.7,43,FALSE
2011,"GROUPER, MARBLED",Snappers & Groupers,1892.72,4927.05,4,FALSE
2011,"GROUPER, MISTY",Snappers & Groupers,515.52,474.1,4,FALSE
2011,"GROUPER, SNOWY",Snappers & Groupers,157238.96,459682.91000000003,38,FALSE
2011,"GROUPER, WARSAW",Snappers & Groupers,74056,171226.9004,40,FALSE
2011,"GROUPER, YELLOWFIN",Snappers & Groupers,1448.28,4330.9,7,FALSE
2011,"HIND, RED",Snappers & Groupers,2706.81,7978.91,21,FALSE
2011,"HIND, ROCK",Snappers & Groupers,333.83,834.8728,12,FALSE
2011,"HIND, SPECKLED",Snappers & Groupers,28920.07,78846.1276,33,FALSE
2011,"HOGFISH, SPANISH",Other Reef Fish,35,95.6,4,FALSE
2011,"JACK, ALMACO",Jacks,36343.04,37786.294,31,FALSE
2011,"JACK, BAR",Jacks,64343.67,61356.57,33,FALSE
2011,"JACK, CREVALLE",Jacks,55771.81,43309.04,51,FALSE
2011,"JACK, YELLOW",Jacks,532,527.5,4,FALSE
2011,JACKKNIFE-FISH,Jacks,633,3763.04,8,FALSE
2011,"PARROTFISH, PRINCESS",Other Reef Fish,30,159,4,FALSE
2011,"PORGY, JOLTHEAD",Porgies & Grunts,12290.26,7720.91,23,FALSE
2011,"PORGY, KNOBBED",Porgies & Grunts,7849.49,7053.34,12,FALSE
2011,"PORGY, LONGSPINE",Porgies & Grunts,376.29,515.75,4,FALSE
2011,"PORGY, RED",Porgies & Grunts,273650.5,327512.6696,45,FALSE
2011,"PORGY, WHITEBONE",Porgies & Grunts,1486,1428.5,4,FALSE
2011,"SNAPPER, BLACK",Snappers & Groupers,3404.79,8349.75,6,FALSE
2011,"SNAPPER, BLACKFIN",Snappers & Groupers,10241.77,29021.31,16,FALSE
2011,"SNAPPER, CUBERA",Snappers & Groupers,1499.01,2062.2088,16,FALSE
2011,"SNAPPER, DOG",Snappers & Groupers,691.24,862.71,8,FALSE
2011,"SNAPPER, LANE",Snappers & Groupers,14288.53,29627.0428,73,FALSE
2011,"SNAPPER, MAHOGANY",Snappers & Groupers,270.84000000000003,643.15,3,FALSE
2011,"SNAPPER, QUEEN",Snappers & Groupers,13981.87,36785.95,28,FALSE
2011,"SNAPPER, SILK",Snappers & Groupers,53220.55,169866.51,30,FALSE
2011,"TILEFISH, BLUELINE",Other Reef Fish,42475.52,45228,25,FALSE
2011,"TILEFISH, GOLDEN",Other Reef Fish,356837.08,773378.92,29,FALSE
2011,"TILEFISH, SAND",Other Reef Fish,255.68,451,6,FALSE
2011,"TRIGGERFISH, QUEEN",Other Reef Fish,32,128,3,FALSE
2011,"TUNA, SKIPJACK",Jacks,439.77,273,4,FALSE
2011,"WRASSE, CLOWN",Other Reef Fish,70,98.5,3,FALSE
