LAND_YEAR,COMMON_NAME,total_live_lbs,total_dollars,n_dealers,is_confidential
1987,"GROUPER, GAG",785260.3700686948,436331.856673209,72,FALSE
1987,"GROUPER, RED",7816176.699794048,2087724.4736060349,191,FALSE
1987,"GROUPER, YELLOWEDGE",1093913.0583143965,843302.964149288,70,FALSE
1987,HOGFISH,30584.496,9377.2938,77,FALSE
1987,"MACKEREL, KING",516615.84,55156.91,120,FALSE
1987,"MACKEREL, SPANISH",2844990.6615747316,203418.41067867467,241,FALSE
1987,SCAMP,361704.81607476634,216697.29626168223,139,FALSE
1987,"SNAPPER, GRAY",482831.2495969991,181102.07280563188,187,FALSE
1987,"SNAPPER, MUTTON",260099.71511269273,111881.01273230526,111,FALSE
1987,"SNAPPER, RED",3069025.0216884776,5094009.901934248,252,FALSE
1987,"SNAPPER, VERMILION",1606477.19,1474322.14,92,FALSE
1987,"SNAPPER, YELLOWTAIL",1112633.22,450121,93,FALSE
1988,"AMBERJACK, GREATER",1904743.68,838653.14,157,FALSE
1988,COBIA,143301.8224358376,149151.29907139525,197,FALSE
1988,"GROUPER, GAG",649613.4326735218,1206108.6540874036,88,FALSE
1988,"GROUPER, RED",5437452.010257095,6941802.9528297745,194,FALSE
1988,"GROUPER, YELLOWEDGE",1579578.2010831,2538684.118403361,82,FALSE
1988,HOGFISH,29977.799343204937,35490.02019531249,74,FALSE
1988,"MACKEREL, KING",552017.4400000001,543911.74,100,FALSE
1988,"MACKEREL, SPANISH",2314938,1031412.4299999999,235,FALSE
1988,SCAMP,276580.63739850867,551099.0078956089,121,FALSE
1988,"SNAPPER, GRAY",318985.6788036276,429213.3555226014,186,FALSE
1988,"SNAPPER, MUTTON",206111.17271297154,337566.0705366299,115,FALSE
1988,"SNAPPER, RED",3977900.1036038185,8746465.086555291,231,FALSE
1988,"SNAPPER, VERMILION",1556011.0783001161,2144794.8438692796,126,FALSE
1988,"SNAPPER, YELLOWTAIL",617787.6072033218,1085777.2049288503,107,FALSE
1989,"AMBERJACK, GREATER",2145034.32,1114071.76,160,FALSE
1989,COBIA,190396.7364982604,213630.93024076088,250,FALSE
1989,"GROUPER, GAG",852915.976851665,1469240.5125227042,87,FALSE
1989,"GROUPER, RED",8788832.393093988,10717592.027861604,214,FALSE
1989,"GROUPER, YELLOWEDGE",578874.1442,586260.4125999999,77,FALSE
1989,HOGFISH,57784.30242279417,61833.731735424095,82,FALSE
1989,"MACKEREL, KING",228664.80000000002,230157.36000000002,98,FALSE
1989,"MACKEREL, SPANISH",3118538.9999999995,1160027.87,216,FALSE
1989,SCAMP,303421.4416143498,502470.65295964124,156,FALSE
1989,"SNAPPER, GRAY",378639.09453226626,451613.97848433896,201,FALSE
1989,"SNAPPER, MUTTON",240150.99754444527,311242.84260345105,131,FALSE
1989,"SNAPPER, RED",3100985.058492908,6662190.061926714,298,FALSE
1989,"SNAPPER, VERMILION",1661581.1559276513,2067344.8577887467,156,FALSE
1989,"SNAPPER, YELLOWTAIL",925436.3464191573,1475535.1966211272,116,FALSE
1990,"AMBERJACK, GREATER",1668150.6400000001,1073753.95,147,FALSE
1990,COBIA,152432.9836,188172.2304070234,212,FALSE
1990,"GROUPER, GAG",994822.446595623,1845388.8330833474,87,FALSE
1990,"GROUPER, RED",5618605.407661514,8107295.789368563,199,FALSE
1990,"GROUPER, YELLOWEDGE",906238.984668663,1025558.9485536766,93,FALSE
1990,HOGFISH,65640.87015305652,79252.58246378487,85,FALSE
1990,"MACKEREL, KING",857058.8,905015.9400000001,114,FALSE
1990,"MACKEREL, SPANISH",2583569,985191.21,226,FALSE
1990,SCAMP,289930.67026026605,501381.0921399653,145,FALSE
1990,"SNAPPER, GRAY",234804.86093242894,319835.27629264793,206,FALSE
1990,"SNAPPER, MUTTON",281516.20421042363,431393.714855814,149,FALSE
1990,"SNAPPER, RED",2661549.4606136284,5821991.338959186,266,FALSE
1990,"SNAPPER, VERMILION",2168679.713520339,2901003.899674427,152,FALSE
1990,"SNAPPER, YELLOWTAIL",799110.2164992542,1340974.1790706026,118,FALSE
1991,"AMBERJACK, GREATER",1185784.17,708317.15,144,FALSE
1991,COBIA,159002.2074576359,205528.69299379748,219,FALSE
1991,"GROUPER, GAG",991389.7366106039,1817245.1059638513,121,FALSE
1991,"GROUPER, RED",5962720.573034905,8168910.908396612,207,FALSE
1991,"GROUPER, YELLOWEDGE",840936.7264555193,1133646.5090731252,78,FALSE
1991,HOGFISH,51064.730440254905,66942.76934039388,100,FALSE
1991,"MACKEREL, KING",393102.32,401508.11,113,FALSE
1991,"MACKEREL, SPANISH",3442924,1379307.98,241,FALSE
1991,SCAMP,358323.82698680146,639562.3961892726,127,FALSE
1991,"SNAPPER, GRAY",274209.13129380957,320574.62705969415,221,FALSE
1991,"SNAPPER, MUTTON",242334.0043633828,356873.1004601952,123,FALSE
1991,"SNAPPER, RED",2224560.758441345,4895313.912269396,243,FALSE
1991,"SNAPPER, VERMILION",1806416.3513749496,2249324.2805882352,153,FALSE
1991,"SNAPPER, YELLOWTAIL",645106.444544972,1161059.807236769,101,FALSE
1992,"AMBERJACK, GREATER",841583.2381869057,562161.5995560857,157,FALSE
1992,COBIA,212793.33629837126,293508.7069786706,208,FALSE
1992,"GROUPER, GAG",1470309.173285787,2903302.3330667345,144,FALSE
1992,"GROUPER, RED",5240903.1056660265,7987069.5882265,212,FALSE
1992,"GROUPER, YELLOWEDGE",1124982.9237327995,1875306.1721666248,75,FALSE
1992,HOGFISH,63799.695926211076,85747.48604079189,92,FALSE
1992,"MACKEREL, KING",1062885.2,1183289.78,114,FALSE
1992,"MACKEREL, SPANISH",3431564.4507805533,1147095.9725996887,253,FALSE
1992,SCAMP,342843.41397835774,648085.7955633354,127,FALSE
1992,"SNAPPER, GRAY",286109.0198506563,403832.22921592003,215,FALSE
1992,"SNAPPER, MUTTON",220798.65263354863,315918.7747852224,119,FALSE
1992,"SNAPPER, RED",3116734.45151926,6012879.650662557,200,FALSE
1992,"SNAPPER, VERMILION",2371933.1774308877,3457151.7169860736,161,FALSE
1992,"SNAPPER, YELLOWTAIL",792917.7835401517,1481030.0356836591,110,FALSE
1993,"AMBERJACK, GREATER",1035205.0378840951,852298.9025604603,175,FALSE
1993,COBIA,235172.20435735208,346196.0603582308,220,FALSE
