"year","Cobia_SEDAR28U","Gag Grouper_SEDAR72","Gray Snapper_SEDAR75","Gray Triggerfish_SEDAR43","Greater Amberjack_SEDAR70","King Mackerel_SEDAR38U","Mutton Snapper_SEDAR79","Red Grouper_SEDAR88","Red Snapper_SEDAR74","Scamp Grouper_SEDAR68OA","Spanish Mackerel_SEDAR81","Vermilion Snapper_SEDAR67","Yellowtail Snapper_SEDAR96"
2000,16.0738706423047,2.91249182094416,5.95171307744141,23.6313906314564,1.84142289318479,13.5913508443419,1.88156319299814,1.32181354883136,5.28927214063487,1.63463620825281,1.24996970107436,12.0567231068781,24.7958257713249
2001,16.462617652282,1.6421940101694,6.91713624944237,25.9584157578831,1.55194816517478,227.207616811861,2.18002593410815,0.983273406238056,4.86286937965861,1.42472348516464,1.19444382826873,9.12573955365897,23.8011682242991
2002,15.7653975363942,1.58562736867975,5.48324893660117,27.0655721779677,2.32663707536156,11.878096818993,2.45593363618151,0.74976291083764,5.27081909989129,1.46980596388406,1.20346399080656,8.25057420573977,22.9711465451784
2003,18.6815331010453,1.95139928582985,5.49588552460647,27.0101496525923,3.34782475875264,220.638980980641,2.35521171674552,1.00148127137207,4.56836035977314,2.3543244305829,0.943774487435684,10.2772081703538,19.5992077781779
2004,14.0530531473803,2.02604154984922,5.40105977493296,26.8505146936013,3.02296343076341,5.09546713079861,1.7566154627222,1.32397752858111,3.06284870943988,2.59049573731198,0.951497316580042,9.90266937887843,22.1598053892215
2005,13.6014466102734,1.99953073587145,5.12597772135101,27.7105576035336,2.71965798749186,5.68130774697939,1.97064021773501,1.37058439594377,4.46298091476686,3.07506968647132,1.26964099318703,8.68448644101558,22.6920852359208
2006,15.7128428557283,1.360674461442,5.96280919788664,27.8110971412083,2.57944105623265,296.266701057522,1.69298961925519,1.44307999742152,4.98923159140236,3.70587183534208,1.53577412701231,8.20860766416729,24.2464478196963
2007,16.7504433037797,0.938713344730927,5.23517962531265,27.1994031212576,1.88470778478621,388.007111111087,1.680653043543,1.62276364748458,4.81054673493072,3.93988601189014,1.2587046676143,8.81150470126164,25.8585908529048
2008,15.3202298850575,1.00489936709003,6.54753589299208,16.3174204549859,0.865321988826008,9.16633121998967,2.20499802477566,0.873903167255582,2.68915478142235,3.36175302184983,1.18476602755934,46.1739416899346,26.3074573682871
2009,14.705349905431,1.46771172086777,8.14539310950847,17.2317080128232,1.06665845594668,8.806499453266,2.92913984836441,0.52678657391133,4.70987493128119,3.08313543095742,1.62297384059806,54.3911648180989,23.9226938068428
2010,19.6159718144451,1.87916872209075,8.47709469912873,17.3924665712442,1.20783567317193,10.050628089187,4.29780087499029,0.797634146052367,2.89568429647221,3.27049618305277,0.967630734246382,71.0313234179935,23.9507735583685
2011,15.3795821535165,1.11071599273135,5.53862691493101,17.8125458246921,1.38851950520022,12.0857664634012,4.40951315560729,1.75481203730411,2.88717753309446,3.87797008879425,0.968949784706406,117.685844695073,24.6734948788409
2012,20.3960369163952,1.08082970352411,4.47998201715958,17.3320496684388,1.39298212613659,11.3526806021699,2.13950658540496,2.75441693214739,4.89535655577817,4.33153169773408,1.30807594429833,107.360879871655,22.6661894047863
2013,17.3262166821377,1.56173744282902,4.76736044415793,18.3917985708298,1.14640535538332,292.147905262957,1.61136876521492,2.84129586702098,5.87755243729327,4.61104486889914,0.88062955347745,102.874697043231,19.8387493412963
2014,17.3380811078141,1.17083289309409,6.8569599615158,NA,1.1197992933377,166.979795983899,1.79214052618844,2.06876476566669,4.99471135754078,4.91132227253859,0.928354391439283,100.119748917033,21.6574220813523
2015,17.9031692346236,0.866053568862959,5.64686142308317,NA,1.18223209940239,6.20036906247512,1.77919996507759,1.51957776168114,5.48235181529621,5.07198896226188,1.07341418515433,94.7876042519806,22.6861361557559
2016,19.6634164872737,1.03110199546065,5.55899698256959,NA,0.563879893910508,147.57939846461,1.56475146896517,0.948513702842,5.17020130289993,3.90525443093723,1.03098025469613,102.221472012736,23.7061392242486
2017,16.0786968164237,0.638456258775326,3.98776903045611,NA,0.733398252561634,7.4069579121601,1.75305114121318,0.607420356378729,6.6692647858032,3.52913844504981,1.08168231948917,109.336769084247,25.9446788560713
2018,14.6734824867046,0.831763771876151,4.21638859058645,NA,0.844555401329769,NA,0.84008913587719,0.664492150448131,6.11318443405793,3.7601843746688,0.985510443595939,NA,27.1985594237695
2019,NA,0.998134641827228,3.44057484274396,NA,NA,NA,1.02082516075114,1.1200334626487,6.31317531710994,3.41519883673987,0.876027408748844,NA,27.754079521949
2020,NA,NA,4.24569935873216,NA,NA,NA,1.3744278983517,1.52319270106927,NA,2.83374731066036,1.13194081696468,NA,22.7527095181887
2021,NA,NA,NA,NA,NA,NA,0.910226412629622,1.3119149100104,NA,NA,1.39348760426507,NA,22.5004191114836
2022,NA,NA,NA,NA,NA,NA,0.826926475497287,0.97702504792057,NA,NA,NA,NA,23.3479598113594
2023,NA,NA,NA,NA,NA,NA,0.944401263754849,NA,NA,NA,NA,NA,22.7809439002671
