"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,4881.92,10.7627784704,2
2001,4941.54,10.8942179148,2
2002,5063.3,11.162652446,2
2003,5137.29,11.3257722798,2
2004,5180.47,11.4209677714,2
2005,5246.53,11.5666049686,2
2006,5308.47,11.7031591314,2
2007,5377.53,11.8554101886,2
2008,5455.38,12.0270398556,2
2009,5506.34,12.1393872908,2
2010,5508.68,12.1445461016,2
2011,5526.25,12.183281275,2
2012,5487.76,12.0984254512,2
2013,5447.51,12.0096894962,2
2014,5361.93,11.8210181166,2
2015,5276.94,11.6336474628,2
2016,5161.11,11.3782863282,2
2017,5034.05,11.098167311,2
2018,4936.19,10.8824231978,2
2019,4884.52,10.7685104824,2
2020,4782.42,10.5434187804,2
2021,4729.38,10.4264857356,2
