"Assessment","FleetName"
"Red Snapper_SEDAR74","Shr_E"
"Red Snapper_SEDAR74","GRSC_W"
"Red Snapper_SEDAR74","GRSC_C"
"Red Snapper_SEDAR74","GRSC_E"
"Scamp Grouper_SEDAR68OA","ComVL"
"Scamp Grouper_SEDAR68OA","ComLL"
"Scamp Grouper_SEDAR68OA","Charter_Private"
"Scamp Grouper_SEDAR68OA","Headboat"
"Scamp Grouper_SEDAR68OA","Combined_Video"
"Scamp Grouper_SEDAR68OA","RFOP_Index"
"Spanish Mackerel_SEDAR81","Com_GN_1"
"Spanish Mackerel_SEDAR81","Com_HL_2"
"Spanish Mackerel_SEDAR81","Rec_CB_HB_3"
"Spanish Mackerel_SEDAR81","Rec_PRIV_4"
"Spanish Mackerel_SEDAR81","Rec_SH_5"
"Spanish Mackerel_SEDAR81","Byc_SHRIMP_6"
"Spanish Mackerel_SEDAR81","Srv_VL_7"
"Spanish Mackerel_SEDAR81","Srv_SEAMAPearly_8"
"Spanish Mackerel_SEDAR81","Srv_SEAMAPlate_9"
"Vermilion Snapper_SEDAR67","HL_E"
"Vermilion Snapper_SEDAR67","HL_W"
"Vermilion Snapper_SEDAR67","LL_E"
"Vermilion Snapper_SEDAR67","LL_W"
"Vermilion Snapper_SEDAR67","MRIP_E"
"Vermilion Snapper_SEDAR67","MRIP_W"
"Vermilion Snapper_SEDAR67","HBT_E"
"Vermilion Snapper_SEDAR67","HBT_W"
"Vermilion Snapper_SEDAR67","C_Clsd_E"
"Vermilion Snapper_SEDAR67","C_Clsd_W"
"Vermilion Snapper_SEDAR67","R_Clsd_E"
"Vermilion Snapper_SEDAR67","R_Clsd_W"
"Vermilion Snapper_SEDAR67","Shr_E"
"Vermilion Snapper_SEDAR67","Shr_W"
"Vermilion Snapper_SEDAR67","Video_E"
"Vermilion Snapper_SEDAR67","Video_W"
"Vermilion Snapper_SEDAR67","Larv_E"
"Vermilion Snapper_SEDAR67","Larv_W"
"Vermilion Snapper_SEDAR67","Sum_E"
"Vermilion Snapper_SEDAR67","Sum_W"
"Vermilion Snapper_SEDAR67","Fall_E"
"Vermilion Snapper_SEDAR67","Fall_W"
"Vermilion Snapper_SEDAR67","BLL_W"
"Vermilion Snapper_SEDAR67","BLL_E"
"Vermilion Snapper_SEDAR67","ROV_E"
"Vermilion Snapper_SEDAR67","MRIP_Index_E"
"Vermilion Snapper_SEDAR67","MRIP_Index_W"
"Vermilion Snapper_SEDAR67","HBT_Index_E"
"Vermilion Snapper_SEDAR67","HBT_Index_W"
"Yellowedge Grouper_SEDAR85","ComVL_E"
"Yellowedge Grouper_SEDAR85","ComVL_W"
"Yellowedge Grouper_SEDAR85","ComLL_E"
"Yellowedge Grouper_SEDAR85","ComLL_W"
"Yellowedge Grouper_SEDAR85","NMFSBLL_E"
"Yellowedge Grouper_SEDAR85","NMFSBLL_W"
"Yellowedge Grouper_SEDAR85","NMFSTRW_E"
"Yellowedge Grouper_SEDAR85","NMFSTRW_W"
"Yellowtail Snapper_SEDAR96","COM"
"Yellowtail Snapper_SEDAR96","HB"
"Yellowtail Snapper_SEDAR96","MRIP"
"Yellowtail Snapper_SEDAR96","RVC_Keys"
"Yellowtail Snapper_SEDAR96","MRIP_CPUE"
"Yellowtail Snapper_SEDAR96","FI"
"Yellowtail Snapper_SEDAR96","RVC_DRTO"
