"COMMON_NAME","grand_total_lbs","grand_total_dollars"
"MOONFISH, ATLANTIC",158007.42,57783.55
"STINGRAYS",157021.63,543464.49
"ULOTRICHALES",151791.36,1161969.44
"SPONGES, DEMOSPONGIAE",151299.75,489524.79
"GARS, SLENDER",150713.19,167772.05
"CORALS, SOFT",149548.5,493128.73
"KILLIFISH, GULF",137374,30237.6
"STAR, SERPENT BRITTLE",134925.4,151468.79
"SHAD, THREADFIN",132191,589172.48
"ANIMALIA",125264.2,655908.67
"MAT, GREEN SEA",123343.5,77365.25
"TILEFISHES",122347.92,185327.05
"MARLINS",118527,80925
"HARVESTFISH, NORTHERN",116689.2,56609.8
"ANGELFISH, BLUE",114416,784004.46
"SPONGE, RED BALL",109429,274660.04
"SHARK, MAKO, LONGFIN",108909.35,121702.3
"BURRFISH, STRIPED",108554,89075.64
"WEAKFISH",106452.119753086,26829.2766666667
"MACKERELS",105252,58812.35
"ANGELFISHES",98764,15506.25
"GORGONIAN, SEA BLADES",95989,228323.32
"REPTILES",94920.4,90255.67
"ANEMONE, RINGED",93993,33555.08
"CHUB, BERMUDA",90540,115598.45
"HERMIT, RED REEF",79757,27181.86
"PINFISH, SPOTTAIL",73831,37669.51
"PLANT, MERMAID'S SHAVING BRUSH",73324.5,48285.82
"BISCUIT, INFLATED SEA",72420,17074.5
"SEAHORSE, LINED",72033,215494.47
"SHARK, LARGE PELAGIC SPECIES",71382.76,21107.72
"NUDIBRANCHS",65952,83988.53
"PLANT, CAULERPA",65507.28,240609.47
"GAR, SPOTTED",63967.94,45193.7
"ANEMONE, SUN ZOANTHID",63808,119181.2
"HERMIT, ORANGECLAW",63050,7705.9
"JACK, BLUNTNOSE",62224,45696.42
"CASSIOPEA, JAMAICAN",59024,60600.96
"DOLLAR, NOTCHED SAND",58850,13079.1
"STAR, BLACK BRITTLE",57827.6,44014.18
"FLOUNDERS, LEFTEYED",56172.15,181535.91
"EELS",55367.84,19863.764
"FILEFISH, PLANEHEAD",54754.25,34884.19
"SLIDER, COMMON",54648.1,33001.54
"CATFISH, GAFFTOPSAIL",52680.43,39609.71
"TUNICATES, SEA SQUIRTS",52031,186692.69
"PORGY, GRASS",51415.15,31651.711
"RAYS, COWNOSED",49767,18625.8
"SQUIRRELFISHES",46733.35,29240.5871
"BRYOPSIDALES",46542.75,69781.45
"BARRELFISH",46464.6889073444,102642.147438463
"TURTLES, NORTH AMERICAN SOFTSHELL",45935.84,42478.45
"STURGEONS",44485,10515
"WORM, MARINE",43455.15,183921.44
"STARS, BRITTLE",42790,75191.83
"TURTLE, ALLIGATOR SNAPPING",42172.6,51745.27
"PLANT, HALIMEDA",41702.5,41572.37
"FISHES, RAY-FINNED",41210.11,106914.9615
"RANGIA, ATLANTIC",37990,18796
"CUCUMBERS, OTHER SEA",35885.15,137419.73
"BOXFISHES",33987,21521.11
"OPHIDIIFORMES",33686.05,77279.3845
"STAR, SCALY BRITTLE",29567,31365.65
"KINGFISH, GULF",29563,49776.8
"PIPEFISH, SARGASSUM",28650,31582.19
"EEL, CONGER",28108.85,12699.2
"CREOLE-FISH",27564.13,25786.95
"BASS, LONGTAIL",27148.23,24729.01
"SCULPINS",26286,25141
"DOGFISH, SPINY",24818,22180.4
"CORAL, DEEPWATER",24616,27607.63
"HERMIT, STAREYE",24089,8398.26
"SHARKS, DOGFISH",23345.45,5787.75
"HARES, SEA",23296,64083.8
"CORALS",22812,86978.75
"DORIS, FLORIDA REGAL",22454,42603.73
"SCORPIONFISH, SPINYCHEEK",22067.56,28071.21
"EYE, SHARK",21373.05,20739.7965
"FLYINGFISHES",20613,2983.79
"KILLIFISHES",20555.66,488506.22
"BLENNY, OTHER",20331,26876.67
"TEGULA",20148,4420.34
"WASHBOARD",19849,6631.9
"DICOTYLEDONS",19693,19446.75
"COWRIE, MEASLED",18368,4647.32
"BATFISH, OTHER",18270.5,24162.32
"SNAPPER, CARIBBEAN RED",18261.3943038649,37072.2218675243
"ANGELWING",18158,22910.5
"TOADFISHES",17791,22411.18
"PARROTFISHES",17688.2678571429,13375.9278571429
"MITHRACULUS RUBER",17636,12029.9
"ANEMONE, SUN",17375,18492.16
"TULIP, TRUE",16827,25321.89
"OPAH",16479.88,19751.83
"SAWFISH, SMALLTOOTH",16455,1066
"PUFFER, SOUTHERN",16159.25,18375.82
"ROSEFISH, BLACKBELLY",16056.03,36285.54
"GAR, SHORTNOSE",15864.71,13975.98
"HAKE, WHITE",15548,5407
"skink, ground ",15266,21956.05
"DRUM, BLACKBAR",15102,20685.95
"BRYOZOA, ECTOPROCTA",14618,96421.63
"EELS, CONGER",14582.4,16612.25
"SEAROBINS",14262,51289.01
"AMERICAN BULLFROG",14182,40907.4
"BIGEYES",14000.82,14683.0959
"FILEFISHES",13841,29868.28
"TURTLE, LOGGERHEAD",12500,1751
"STAR, BASKET",12455,25372.54
"REEFFISH, PURPLE",12094,6042.72
"SHARK, SAND TIGER",12054.83,4142.8
"BREAM, RED",11631,9932.93
"TILEFISH, ANCHOR",10905.28,13157.34
"BURRFISHES, SPINY BOXFISHES",10262,5724.8
"PIPEFISHES",10246,32696.73
"SCORPIONFISH, REEF",10198,6741.44
"MORAY, BLACKEDGE",9768,11488.84
"SURGEONFISHES",8913.8,16033.855
"RAY, COWNOSE",8275.58,12856.64
"HOGFISH, SPOTFIN",8083.7,26312.48
"Antillocoris",7997,5499.95
"CUTLASSFISHES",7816.75,7467.22
"POLYCHAETE, HORNED CHRISTMAS-T",7663,21694.04
"WRASSE, OTHER",7570,8829.98
"POMPANO, IRISH",7485.2,7163.78
"POLYCHAETE, FEATHER-DUSTER",7275,31542.81
"CHITONS",6941,38998.85
"CATFISH, HARDHEAD",6880.26,4623.05
"SANDFISH, BELTED",6752,4911.25
"PENS/PANSIES, SEA",6557,100987
"CUSK",6537,6400.8
"BUFFALO, SMALLMOUTH",6290,3774
"CYMATIIDAE",6257,1133.85
"POLYCHAETE, FANWORM",6083,7643.1
"EELS, SNAKE",5963.25,6448.09
"PAGURISTES ERYTHROPS",5948,3164.39
"DOLLAR, SAND",5259,4945.5
"TRITON, ANGULAR",5230,5465
"GAMBUSIA, MANGROVE",4876,3044.2
"EEL, SPECKLED WORM",4754,484.5
"JAWFISHES, SPOTFIN",4642,3163.58
"EEL, MORAYS",4622.73,10311.36
"CLINGFISHES",4615,6771.1
"GOBIES",4606,8842.29
"FLOUNDER, SUMMER",4484.07,10891.56
"BUTTERFLYFISH, REEF",4400,7995.05
"LIZARDFISHES",4385,2741.2
"PENSHELLS",4351,30093.64
"RUDDERFISH",4311.84,2890.2
"TREEFROG, GREEN",3996,1636.24
"POMFRETS",3877.98,4893.57
"SNAPPER, JOBFISH OR UKU",3843,6917
"TRUNKFISHES, THREE-ANGLED",3597,2253.44
"SEATROUTS",3467.71,3138.85
"WHITEFISHES",3465,3597.75
"DICK, SLIPPERY",3454,7653.79
"WHELK, KNOBBED",3439,1864.35
"FILEFISH, PYGMY",3247,3643.78
"SCORPIONFISH, SPOTTED",3172.26,4992.05
"HERMIT, GIANT",3042,7661.83
"STARS, FEATHER",3000,600
"CORALLINACEAE",2978,7523.77
"PORGY, LITTLEHEAD",2769.76,3993.0754
"TURTLE, COMMON MUSK",2647.4,5494.5
"BALLOONFISH",2600,5657.47
"COWRIE, ATLANTIC DEER",2570,3375.63
"SPRING PEEPER",2570,6954.5
"LIBINIA",2519,12819.6
"BLENNY, SAILFIN",2504,4897.7
"BLENNY, FLORIDA",2465,6261.8
"GOOSEFISH",2455.96,1846.7
"SKIPJACK, BLACK",1937,1107
"BLENNY, BANDED",1873,4762.15
"CHUBS, SEA",1856.48,1085.65
"MORAY, SPOTTED",1822,4366.51
"CORALLIMORPHARIA",1762,8059
"PAGURISTES PUNCTICEPS",1709,561.15
"SLEEPERS",1700,245
"SPEARFISHES",1668,1199
"MITER, FLORIDA",1623,600.97
"POMFRET, BIGSCALE",1595.1,4302.65
"MITHRACULUS",1438,1123
"LEAFFISH, AFRICAN",1428,1360.6
"BLENNY, MARBLED",1414,2087.28
"MAJOIDEA",1400,9381.65
"TONGUE, FLAMINGO",1399,324.95
"FROGFISH, OCELLATED",1385,6384.34
"SQUIRRELFISH, REEF",1337,3788.11
"DAMSELFISHES",1334,1197.69
"PERIWINKLES, ATLANTIC",1273,1316.5
"ROVER, CRIMSON",1245.6,1707
"CUCUMBERS, SEA",1198,954.5
"HAKE, RED",1198,320
"SARDINE, PACIFIC",1155,578
"LIONFISH, RED",1151.29,2519.6072
"BLENNY, HAIRY",1150,806
"STINGRAY, YELLOW",1145,11377.19
"BLEUFER",1090,304.1
"CARDINALFISHES",1055,1222.55
"CODFISHES",1003.92,914.5
"HAGFISHES",1000,600
"BLENNY, SADDLED",936,3446.47
"MYTILIDAE",933.17,11552.68
"CORALLIMORPH, DISCOSOMA",905,3643.5
"RAYS, BUTTERFLY",883,11403
"NEEDLEFISHES",872.36,3338.53
"THREERIDGE",840,204
"STARGAZERS",820,343.75
"DOLLARS, SIX-HOLED KEYHOLE SAND",770,4539
"COOTER, RIVER",742,166.8
"PRAWN, GIANT TIGER",722.5,2890
"LIZARDFISH, INSHORE",722,6287.68
"CARDINALFISH, TWOSPOT",705,1077.95
"TURTLES, PAINTED",700,5250
"JAWFISHES",694,1290.35
"TURTLE, MUD",666,2294.9
"SARGASSUMFISH",647,885.5
"CHROMIS, BROWN",644,1365.59
"SNOOK, COMMON",595,727
"SOLES, NAKED AND FRINGED",579,1994
"REMORAS, OTHER",561,1315.85
"TERRAPINS, TURTLES",558.6,1471.2
"SHARKSUCKER",552,2946.8
"buffalo, bigmouth ",541,324.6
"BULLEYE",511.68,861.1
"TREEFROG, GRAY",500,250
"SUNFISHES",473,290
"SHARK, COOKIECUTTER",468,117
"KINGFISH, SOUTHERN",440.56,821.4
"SHARK, TOPE",434,135
"LEATHERJACK",419,387.3
"STURGEON, SHOVELNOSE",409,359
"MAPLELEAF",395,88.25
"CUCUMBER, DONKEY DUNG SEA",389,782
"Leatherskin, Largemouthed",383,257
"BLENNY, GLASS",358,449.4
"TERRAPIN, DIAMONDBACK",355,164
"BUTTERFLYFISH, BANK",323,792.2
"NEEDLEFISH, ATLANTIC",314,250
"TURTLES, SLIDERS",313,188
"SENNET, NORTHERN",310,217.1
"ANIMALS, HYDRALIKE",304,2914
"FLAG, SPANISH",291.64,322.6
"CUCUMBER, FOUR-SIDED SEA",285,1034
"GOBY, NAKED",282,319.55
"MACKEREL, CHUB",275,158.75
"RAZORFISHES",273,168.11
"DAMSELFISH,COCOA",271,336.29
"FILEFISH, ORANGESPOTTED",269,1285.75
"PILOTFISH",268,83.41
"MARLIN, BLACK",257,205
"STARGAZER, SOUTHERN",247,277.5
"stingrays, myliobatiformes (order)",214,15973
"BASSLET, CANDY",213,159.75
"SHARKS, THRESHER",209,255
"GRUNT, BARRED",201,200.5
"MACKEREL, FRIGATE",188,658
"pomfrets",182.86,195.25
"GOBY, TIGER",151,385.3
"RAY, LESSER ELECTRIC",147,10296.05
