"COMMON_NAME_USE","SPP_TYPE","SPP_NAME","MANAGEMENT_TYPE_USE","START_YEAR","SECTOR","SUBSECTOR","VALUE","VALUE_UNITS","VALUE_TYPE"
"MACKEREL, SPANISH","COMMON_NAME","MACKEREL, SPANISH","QUOTA",2000,"COMMERCIAL","ALL",5187000,"POUNDS","ROUND (WHOLE) WEIGHT"
"MACKEREL, SPANISH","COMMON_NAME","MACKEREL, SPANISH","QUOTA",2000,"RECREATIONAL","ALL",3913000,"POUNDS","ROUND (WHOLE) WEIGHT"
"MACKEREL, SPANISH","COMMON_NAME","MACKEREL, SPANISH","ACL",2012,"ALL","ALL",5150000,"POUNDS","ROUND (WHOLE) WEIGHT"
"MACKEREL, SPANISH","COMMON_NAME","MACKEREL, SPANISH","ACL",2014,"ALL","ALL",12700000,"POUNDS","ROUND (WHOLE) WEIGHT"
"MACKEREL, SPANISH","COMMON_NAME","MACKEREL, SPANISH","ACL",2015,"ALL","ALL",11800000,"POUNDS","ROUND (WHOLE) WEIGHT"
"MACKEREL, SPANISH","COMMON_NAME","MACKEREL, SPANISH","ACL",2016,"ALL","ALL",11300000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SCAMP","SPECIES_AGGREGATE","QUOTA: DEEP-WATER GROUPERS (DWG)","QUOTA",1990,"COMMERCIAL","ALL",1800000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SCAMP","SPECIES_AGGREGATE","QUOTA: ALL OTHER GROUPERS, COMBINED","QUOTA",1991,"COMMERCIAL","ALL",9900000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SCAMP","SPECIES_AGGREGATE","QUOTA: SHALLOW-WATER GROUPERS (SWG), COMBINED","QUOTA",1992,"COMMERCIAL","ALL",9800000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SCAMP","SPECIES_AGGREGATE","QUOTA: SHALLOW-WATER GROUPERS (SWG), COMBINED","QUOTA",2004,"COMMERCIAL","ALL",8800000,"POUNDS","GUTTED WEIGHT"
"SCAMP","SPECIES_AGGREGATE","QUOTA: SHALLOW-WATER GROUPERS (SWG), COMBINED","QUOTA",2009,"COMMERCIAL","ALL",7480000,"POUNDS","GUTTED WEIGHT"
"SCAMP","SPECIES_AGGREGATE","QUOTA: SHALLOW-WATER GROUPERS (SWG), COMBINED","QUOTA",2010,"COMMERCIAL","ALL",7570000,"POUNDS","GUTTED WEIGHT"
"SCAMP","SPECIES_AGGREGATE","QUOTA: SHALLOW-WATER GROUPERS (SWG), COMBINED","QUOTA",2011,"COMMERCIAL","ALL",5160000,"POUNDS","GUTTED WEIGHT"
"SCAMP","SPECIES_AGGREGATE","ACL/ACT:  OTHER SHALLOW-WATER GROUPER (OTHER SWG)","ACL",2012,"ALL","ALL",688000,"POUNDS","GUTTED WEIGHT"
"SCAMP","SPECIES_AGGREGATE","QUOTA: OTHER SWG COMBINED","QUOTA",2012,"COMMERCIAL","ALL",509000,"POUNDS","GUTTED WEIGHT"
"SCAMP","SPECIES_AGGREGATE","ACL/ACT:  OTHER SHALLOW-WATER GROUPER (OTHER SWG)","ACL",2013,"ALL","ALL",700000,"POUNDS","GUTTED WEIGHT"
"SCAMP","SPECIES_AGGREGATE","QUOTA: OTHER SWG COMBINED","QUOTA",2013,"COMMERCIAL","ALL",518000,"POUNDS","GUTTED WEIGHT"
"SCAMP","SPECIES_AGGREGATE","ACL/ACT:  OTHER SHALLOW-WATER GROUPER (OTHER SWG)","ACL",2014,"ALL","ALL",707000,"POUNDS","GUTTED WEIGHT"
"SCAMP","SPECIES_AGGREGATE","ACL/ACT:  OTHER SHALLOW-WATER GROUPER (OTHER SWG)","ACL",2014,"COMMERCIAL","ALL",545000,"POUNDS","GUTTED WEIGHT"
"SCAMP","SPECIES_AGGREGATE","ACL/ACT:  OTHER SHALLOW-WATER GROUPER (OTHER SWG)","ACL",2015,"ALL","ALL",710000,"POUNDS","GUTTED WEIGHT"
"SCAMP","SPECIES_AGGREGATE","ACL/ACT:  OTHER SHALLOW-WATER GROUPER (OTHER SWG)","ACL",2015,"COMMERCIAL","ALL",547000,"POUNDS","GUTTED WEIGHT"
"SCAMP","SPECIES_AGGREGATE","QUOTA: DEEP-WATER GROUPERS (DWG)","QUOTA",2016,"COMMERCIAL","ALL",1024000,"POUNDS","GUTTED WEIGHT"
"SNAPPER, BLACKFIN","SPECIES_AGGREGATE","ACL/ACT: SILK SNAPPER, QUEEN SNAPPER, BLACKFIN SNAPPER, AND WENCHMAN, COMBINED","ACL",2012,"ALL","ALL",166000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, CUBERA","COMMON_NAME","SNAPPER, CUBERA","ACL",2012,"ALL","ALL",5065,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, GRAY","COMMON_NAME","SNAPPER, GRAY","ACL",2012,"ALL","ALL",2420000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, GRAY","COMMON_NAME","SNAPPER, GRAY","ACL",2020,"ALL","ALL",2240000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, GRAY","COMMON_NAME","SNAPPER, GRAY","ACL",2021,"ALL","ALL",2230000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, GRAY","COMMON_NAME","SNAPPER, GRAY","ACL",2024,"ALL","ALL",5728000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, LANE","COMMON_NAME","SNAPPER, LANE","ACL",2012,"ALL","ALL",301000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, LANE","COMMON_NAME","SNAPPER, LANE","ACL",2021,"ALL","ALL",1028973,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, LANE","COMMON_NAME","SNAPPER, LANE","ACL",2024,"ALL","ALL",1088873,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, MUTTON","COMMON_NAME","SNAPPER, MUTTON","ACL",2012,"ALL","ALL",203000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, MUTTON","COMMON_NAME","SNAPPER, MUTTON","ACL",2018,"ALL","ALL",134424,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, MUTTON","COMMON_NAME","SNAPPER, MUTTON","ACL",2019,"ALL","ALL",139392,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, MUTTON","COMMON_NAME","SNAPPER, MUTTON","ACL",2020,"ALL","ALL",143694,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, QUEEN","SPECIES_AGGREGATE","ACL/ACT: SILK SNAPPER, QUEEN SNAPPER, BLACKFIN SNAPPER, AND WENCHMAN, COMBINED","ACL",2012,"ALL","ALL",166000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",1990,"COMMERCIAL","ALL",3100000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","TAC",1991,"ALL","ALL",4000000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",1991,"COMMERCIAL","ALL",2040000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",1993,"COMMERCIAL","ALL",3060000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","TAC",1996,"ALL","ALL",9120000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",1996,"COMMERCIAL","ALL",4650000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",1997,"RECREATIONAL","ALL",4470000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","TAC",1998,"ALL","ALL",9120000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",1998,"COMMERCIAL","ALL",4650000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","TAC",2007,"ALL","ALL",6500000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2007,"COMMERCIAL","ALL",3315000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2007,"RECREATIONAL","ALL",3185000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2008,"COMMERCIAL","ALL",2550000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2008,"RECREATIONAL","ALL",2450000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","TAC",2010,"ALL","ALL",6945000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2010,"COMMERCIAL","ALL",3542000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2010,"RECREATIONAL","ALL",3403000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2011,"COMMERCIAL","ALL",3664000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2011,"RECREATIONAL","ALL",3866000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2012,"COMMERCIAL","ALL",4121000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2012,"RECREATIONAL","ALL",3959000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2013,"COMMERCIAL","ALL",5610000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2013,"RECREATIONAL","ALL",5390000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACT",2014,"RECREATIONAL","ALL",4312000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACL",2015,"COMMERCIAL","ALL",7293000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACL",2015,"RECREATIONAL","ALL",7007000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACL",2016,"COMMERCIAL","ALL",6768000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACL",2016,"RECREATIONAL","ALL",7192000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2017,"COMMERCIAL","ALL",7007000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACT",2017,"RECREATIONAL","ALL",5386000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACL",2019,"ALL","ALL",15100000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACL",2019,"COMMERCIAL","ALL",7701000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACL",2019,"RECREATIONAL","ALL",7399000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACL",2020,"RECREATIONAL","ALL",7256573,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","QUOTA",2022,"RECREATIONAL","ALL",7135794,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACL",2023,"ALL","ALL",15400000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACL",2023,"COMMERCIAL","ALL",8318100,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, RED","COMMON_NAME","SNAPPER, RED","ACL",2023,"RECREATIONAL","ALL",7991900,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, SILK","SPECIES_AGGREGATE","ACL/ACT: SILK SNAPPER, QUEEN SNAPPER, BLACKFIN SNAPPER, AND WENCHMAN, COMBINED","ACL",2012,"ALL","ALL",166000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, VERMILION","COMMON_NAME","SNAPPER, VERMILION","ACL",2012,"ALL","ALL",3420000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, VERMILION","COMMON_NAME","SNAPPER, VERMILION","ACL",2018,"ALL","ALL",3110000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, VERMILION","COMMON_NAME","SNAPPER, VERMILION","ACL",2023,"ALL","ALL",5452500,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, YELLOWTAIL","COMMON_NAME","SNAPPER, YELLOWTAIL","ACL",2012,"ALL","ALL",725000,"POUNDS","ROUND (WHOLE) WEIGHT"
"SNAPPER, YELLOWTAIL","COMMON_NAME","SNAPPER, YELLOWTAIL","ACL",2013,"ALL","ALL",901125,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACL",2008,"COMMERCIAL","ALL",105000,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACL",2008,"RECREATIONAL","ALL",394000,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACL",2009,"COMMERCIAL","ALL",122000,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACL",2009,"RECREATIONAL","ALL",426000,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACL",2010,"COMMERCIAL","ALL",138000,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACL",2010,"RECREATIONAL","ALL",457000,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACT",2012,"COMMERCIAL","ALL",60900,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACL",2012,"RECREATIONAL","ALL",241200,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACT",2013,"COMMERCIAL","ALL",60900,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACL",2013,"RECREATIONAL","ALL",241200,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACL",2015,"RECREATIONAL","ALL",54207,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACL",2016,"RECREATIONAL","ALL",201223,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACT",2019,"COMMERCIAL","ALL",60298,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACT",2021,"COMMERCIAL","ALL",88273,"POUNDS","ROUND (WHOLE) WEIGHT"
"TRIGGERFISH, GRAY","COMMON_NAME","TRIGGERFISH, GRAY","ACL",2021,"RECREATIONAL","ALL",360951,"POUNDS","ROUND (WHOLE) WEIGHT"
"WENCHMAN","SPECIES_AGGREGATE","ACL/ACT: SILK SNAPPER, QUEEN SNAPPER, BLACKFIN SNAPPER, AND WENCHMAN, COMBINED","ACL",2012,"ALL","ALL",166000,"POUNDS","ROUND (WHOLE) WEIGHT"
