"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,7858.19,17.3243228378,1
2001,8443.75,18.615260125,1
2002,8563.62,18.8795279244,1
2003,8322.16,18.3472003792,1
2004,8535.33,18.8171592246,1
2005,8486.65,18.709838323,1
2006,9805.88,21.6182391656,1
2007,11536.4,25.433378168,1
2008,12563.3,27.697302446,1
2009,15027,33.12882474,1
2010,17433.2,38.433581384,1
2011,20721.4,45.682812868,1
2012,20044.5,44.19050559,1
2013,20964.1,46.217874142,1
2014,20051.9,44.206819778,1
2015,20982.6,46.258659612,1
2016,20511.6,45.220283592,1
2017,19700.1,43.431234462,1
