"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,280.899,0.61927555338,1
2001,363.941,0.80235160742,1
2002,505.19,1.1137519778,1
2003,658.949,1.45273214438,1
2004,835.628,1.84224220136,1
2005,1031.2,2.273404144,1
2006,973.374,2.14591978788,1
2007,1221.2,2.692281944,1
2008,1621.59,3.5749897458,1
2009,2339.81,5.1583919222,1
2010,2873.21,6.3343362302,1
2011,3293.44,7.2607836928,1
2012,2109.67,4.6510206754,1
2013,2343.85,5.167298587,1
2014,2511.95,5.537895209,1
2015,2534.99,5.5886896538,1
2016,3303.11,7.2821023682,1
2017,4105.16,9.0503178392,1
2018,4960.16,10.9352679392,1
2019,5169.91,11.3976869842,1
