"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,8705.57,19.1924737334,1
2001,9265.67,20.4272813954,1
2002,9494.9,20.932646438,1
2003,9247.04,20.3862093248,1
2004,8612.62,18.9875543044,1
2005,7751.52,17.0891560224,1
2006,7220.54,15.9185468948,1
2007,6964.87,15.3548916994,1
2008,6820.1,15.035728862,1
2009,6791.11,14.9718169282,1
2010,6711.69,14.7967260078,1
2011,6555.62,14.4526509644,1
2012,6074.68,13.3923610216,1
2013,5781.68,12.7464073616,1
