"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,11289.4,24.888837028,3
2001,11823.2,26.065663184,3
2002,11934.9,26.311919238,3
2003,11434.6,25.208947852,3
2004,10872.9,23.970612798,3
2005,10826.6,23.868538892,3
2006,11802.9,26.020909398,3
2007,13164,29.02161768,3
2008,16428,36.21749736,3
2009,20504.3,45.204189866,3
2010,22698.2,50.040905684,3
2011,27511.4,60.652182668,3
2012,30696.1,67.673235982,3
2013,34713.1,76.529194522,3
2014,38759.7,85.450409814,3
2015,41886.7,92.344256554,3
2016,44078.6,97.176563132,3
2017,48266.3,106.408850306,3
2018,51522.8,113.588195336,3
2019,54100.7,119.271485234,3
