"indicator","Sea Bottom Temperature"
"unit","Anomaly (°C)"
"extent","US Gulf EEZ"
"1993-01","0.591217657414701"
"1993-02","0.215707955434942"
"1993-03","-0.446382853062717"
"1993-04","-0.628372475960983"
"1993-05","-0.591941002371819"
"1993-06","-0.447497873755978"
"1993-07","-0.281436229625049"
"1993-08","-0.385429674168144"
"1993-09","-0.312637531208569"
"1993-10","0.002228029766151"
"1993-11","-0.283027623703953"
"1993-12","-0.133614209979452"
"1994-01","-0.306483890542239"
"1994-02","-0.0927909860725276"
"1994-03","-0.160261422276827"
"1994-04","-0.165879302187779"
"1994-05","-0.173977543742135"
"1994-06","-0.308960019350925"
"1994-07","-0.252170261021099"
"1994-08","-0.260894995841442"
"1994-09","-0.251874552826779"
"1994-10","-0.260221531842109"
"1994-11","0.0584798037171232"
"1994-12","0.249305612431582"
"1995-01","-0.0261388553524196"
"1995-02","-0.400022122512828"
"1995-03","-0.199906426883119"
"1995-04","-0.0466630132495869"
"1995-05","0.0583328084734518"
"1995-06","-0.176073902716313"
"1995-07","-0.185962486399555"
"1995-08","0.0597064874093416"
"1995-09","0.199291295056252"
"1995-10","0.0376164625343929"
"1995-11","-0.226181349682813"
"1995-12","-0.122649806904331"
"1996-01","-0.309413746950371"
"1996-02","-0.393375348169945"
"1996-03","-0.659917256302066"
"1996-04","-0.677656996739257"
"1996-05","-0.30939561345753"
"1996-06","-0.241659183221349"
"1996-07","-0.227731126106763"
"1996-08","-0.13054425083768"
"1996-09","-0.376192908485407"
"1996-10","-0.35601948081564"
"1996-11","-0.0855248687501966"
"1996-12","-0.147331897376784"
"1997-01","0.152562987259509"
"1997-02","0.345300895340548"
"1997-03","0.369671317157664"
"1997-04","-0.160115070269846"
"1997-05","-0.35438516333539"
"1997-06","-0.451527867275761"
"1997-07","-0.171282357907147"
"1997-08","-0.252436866971035"
"1997-09","-0.284061791713116"
"1997-10","-0.390461372721665"
"1997-11","-0.633561215814396"
"1997-12","-0.585394681363725"
"1998-01","-0.152436869503406"
"1998-02","-0.216874018284814"
"1998-03","-0.502899117750829"
"1998-04","-0.262005590969888"
"1998-05","-0.318141934048544"
"1998-06","-0.416482879537318"
"1998-07","-0.561750338861954"
"1998-08","-0.475960353001811"
"1998-09","-0.0548573909845977"
"1998-10","0.0632460478830321"
"1998-11","0.233141238156746"
"1998-12","0.537152536487548"
"1999-01","0.335078659725477"
"1999-02","0.648016445149489"
"1999-03","0.096694608877959"
"1999-04","0.145148650857397"
"1999-05","0.00288631145222773"
"1999-06","-0.0908800575412734"
"1999-07","-0.073586636640492"
"1999-08","-0.0906399929345874"
"1999-09","-0.180699863464117"
"1999-10","-0.279712752793596"
"1999-11","-0.200627846948413"
"1999-12","-0.115274881397578"
"2000-01","0.118578624554059"
"2000-02","-0.0444459305528468"
"2000-03","0.348484892879702"
"2000-04","0.0291572471480723"
"2000-05","-0.0781873858827051"
"2000-06","-0.0423551703879355"
"2000-07","0.0335228174915159"
"2000-08","0.215581796723695"
"2000-09","0.161321777487686"
"2000-10","-0.173184213669165"
"2000-11","0.162471619690912"
"2000-12","-0.269287557933431"
"2001-01","-0.502322845129422"
"2001-02","-0.011718004248074"
"2001-03","-0.185672220421299"
"2001-04","-0.202541820615171"
"2001-05","-0.124455791489575"
"2001-06","-0.20324676466644"
"2001-07","-0.218252440790174"
"2001-08","-0.128358525327442"
"2001-09","-0.457403665827602"
"2001-10","-0.535352801175643"
"2001-11","-0.174099421436141"
"2001-12","0.368073912308917"
"2002-01","-0.0740578641325893"
"2002-02","0.185185391427988"
"2002-03","-0.187518078454133"
"2002-04","0.168774091355074"
"2002-05","0.189287921328258"
"2002-06","0.123419782908003"
"2002-07","0.157337056267286"
"2002-08","0.205594303955554"
"2002-09","0.078361358521466"
"2002-10","0.238368986581444"
"2002-11","0.0396871594963848"
"2002-12","-0.352876354102317"
"2003-01","-0.413250933159585"
"2003-02","-0.355768037905953"
"2003-03","-0.170207971945352"
"2003-04","-0.279120999127286"
"2003-05","0.00424904090957945"
"2003-06","-0.369538793535019"
"2003-07","-0.25045669292567"
"2003-08","-0.295506225227436"
"2003-09","-0.0563060612005621"
"2003-10","-0.064952600602993"
"2003-11","0.369613572811991"
"2003-12","-0.180809599162117"
"2004-01","-0.0604206319135354"
"2004-02","-0.162343772182206"
"2004-03","-0.0912089369941214"
"2004-04","-0.248432993197413"
"2004-05","-0.219741514461489"
"2004-06","-0.139816363219891"
"2004-07","-0.272091583271479"
"2004-08","-0.316925269912156"
"2004-09","-0.379436635490215"
"2004-10","-0.084720803610919"
"2004-11","0.315731022694974"
"2004-12","-0.0882444855338846"
"2005-01","0.0567363383656652"
"2005-02","0.233140573237916"
"2005-03","-0.0103577634180763"
"2005-04","-0.147389716405369"
"2005-05","-0.263054225781829"
"2005-06","0.012889234673624"
"2005-07","0.118485711784249"
"2005-08","0.261802978638968"
"2005-09","0.320868848075465"
"2005-10","0.190520336331684"
"2005-11","-0.0511799682646235"
