"indicator","Sea Level Rise"
"unit","Change in mean sea level (mm)"
"extent","Gulf of America"
"2000.3971","35.76"
"2000.4236","29.1"
"2000.4516","38.67"
"2000.4786","19.41"
"2000.5057","22.73"
"2000.533","16.24"
"2000.5874","8.45"
"2000.6135","-8.97"
"2000.6416","-15.2"
"2000.6684","-18.39"
"2000.6959","-8.66"
"2000.7235","-20.44"
"2000.75","-26.88"
"2000.7777","9.01"
"2000.8044","16.94"
"2000.8589","11.65"
"2000.8856","23.39"
"2000.9143","-10.54"
"2000.9409","-3.51"
"2000.9672","-10.58"
"2000.9941","-19.09"
"2001.0218","-23.61"
"2001.0761","-20.63"
"2001.1031","-8.59"
"2001.13","-8.77"
"2001.1573","-17.47"
"2001.1845","-20.36"
"2001.2111","-7.94"
"2001.2386","-28.99"
"2001.2659","-8.91"
"2001.2928","1.51"
"2001.3202","-15.31"
"2001.3475","9.08"
"2001.3746","8.61"
"2001.4014","-10.46"
"2001.4297","-12.24"
"2001.4557","-20.23"
"2001.4837","-9.67"
"2001.5104","-1.68"
"2001.5373","-21.86"
"2001.565","6.76"
"2001.5919","2.4"
"2001.6188","-13.67"
"2001.6458","13.89"
"2001.6733","-10.61"
"2001.7003","-18.28"
"2001.7271","-0.34"
"2001.7547","11.36"
"2001.7816","8.88"
"2001.8088","3.45"
"2001.836","29.02"
"2001.863","24.34"
"2001.8919","-3.89"
"2001.9175","17.72"
"2001.9565","35.17"
"2001.971","39.1"
"2001.9991","36.19"
"2002.0249","10.74"
"2002.0532","2.925"
"2002.0804","3.48"
"2002.0817","9.89"
"2002.107","45.2"
"2002.1072","51.67"
"2002.1344","38.13"
"2002.1346","41.92"
"2002.1616","22.27"
"2002.1621","32.23"
"2002.1889","8.2"
"2002.189","1.5"
"2002.216","12.88"
"2002.2161","-6.51"
"2002.2431","4.715"
"2002.2704","25.53"
"2002.2974","16.82"
"2002.2977","4.18"
"2002.3245","21.78"
"2002.3247","29.65"
"2002.3519","34.76"
"2002.352","22.47"
"2002.379","24.45"
"2002.3792","18.47"
"2002.4061","36.29"
"2002.4062","38.85"
"2002.4336","49.955"
"2002.4603","40.17"
"2002.4606","25.89"
"2002.4876","17.01"
"2002.4878","3"
"2002.5148","-9.25"
"2002.5414","-3.45"
"2002.5417","8.36"
"2002.5691","14.83"
"2002.5692","0.19"
"2002.596","16.71"
"2002.5961","25.05"
"2002.6232","24.245"
"2002.6499","18.93"
"2002.6545","7.7"
"2002.6769","55.4"
"2002.678","36.91"
"2002.7052","38.22"
"2002.7062","64.51"
"2002.7321","53.82"
"2002.7323","67"
"2002.7589","39.84"
"2002.759","32.71"
"2002.7862","51.16"
"2002.7864","56.69"
"2002.8128","20.17"
"2002.8134","37.03"
"2002.8404","21.73"
"2002.8409","8.1"
"2002.867","-10.65"
"2002.8675","5.18"
"2002.8922","-22.48"
"2002.8947","-49.38"
"2002.9218","-4.36"
"2002.9221","-14.55"
"2002.9478","1.21"
"2002.9486","2.3"
"2002.9763","-21.39"
"2002.9764","-17.32"
"2003.0031","3.67"
"2003.0035","-17.59"
"2003.0294","15.82"
"2003.0309","-5.62"
"2003.057","10.12"
"2003.0578","12.92"
"2003.0846","-1.3"
"2003.0849","17.92"
"2003.111","7.64"
"2003.112","38.37"
"2003.1393","32.13"
"2003.1411","-14"
"2003.1662","28.66"
"2003.1675","13"
"2003.1932","21.48"
"2003.1933","35.81"
"2003.2205","22.1"
"2003.221","30.67"
"2003.2467","15.63"
"2003.2477","17.36"
"2003.2762","10.84"
"2003.2787","-7.13"
"2003.302","6.89"
"2003.3021","1.96"
"2003.3293","47.75"
"2003.3295","28.21"
"2003.3563","27.75"
"2003.3577","28.77"
"2003.3835","2.25"
"2003.3846","3.67"
"2003.4105","12.26"
"2003.4109","-0.88"
"2003.4379","19.87"
"2003.438","-3.7"
"2003.465","-4.11"
"2003.4661","25.47"
"2003.4919","42.95"
"2003.4926","55.94"
"2003.519","25.74"
"2003.5458","48.54"
"2003.5461","39.86"
"2003.5735","-1.89"
"2003.5819","-13.24"
"2003.6006","-11.22"
"2003.6008","8.97"
"2003.6277","26.14"
"2003.6278","4.47"
"2003.6549","13.33"
"2003.655","47.39"
"2003.6823","16.27"
"2003.6827","20.94"
"2003.7093","31.35"
"2003.7099","20.34"
"2003.7364","49.82"
"2003.7367","36.9"
"2003.7635","53.795"
"2003.7908","40.32"
"2003.7927","7.98"
"2003.8179","52.62"
"2003.8186","17.01"
"2003.845","53.76"
"2003.8451","25.22"
"2003.8708","63.02"
"2003.8713","57.06"
"2003.9111","23.51"
"2003.9113","50.83"
"2003.9204","7.12"
"2003.9264","12.02"
"2003.9526","15.06"
"2003.9536","14.1"
"2003.98","12.08"
"2003.9808","3.81"
"2004.008","22.21"
"2004.0087","32.16"
"2004.035","36.68"
"2004.0355","33.76"
"2004.0611","3.58"
"2004.0618","16.06"
"2004.0892","0.4"
"2004.0895","27.39"
"2004.1126","32.64"
"2004.1182","-18.7"
"2004.1444","11.09"
"2004.1481","11.73"
"2004.1707","8.42"
"2004.1709","11.54"
"2004.1977","2.58"
"2004.1979","6.75"
"2004.225","41.79"
"2004.2251","34.29"
"2004.2496","-0.45"
"2004.2533","-5.47"
"2004.2793","11.43"
"2004.2795","-22.1"
"2004.3065","-19.19"
