"lon","lat","elevation","sector","color"
-96.2583333333333,26.125,-411.25,"West","#e63946"
-96.2416666666667,26.125,-451.0625,"West","#e63946"
-96.425,26.1416666666667,-72.125,"West","#e63946"
-96.4083333333333,26.1416666666667,-76.625,"West","#e63946"
-96.3916666666667,26.1416666666667,-83.5,"West","#e63946"
-96.375,26.1416666666667,-90.1875,"West","#e63946"
-96.3583333333333,26.1416666666667,-103.125,"West","#e63946"
-96.3416666666667,26.1416666666667,-178.75,"West","#e63946"
-96.325,26.1416666666667,-243.25,"West","#e63946"
-96.3083333333333,26.1416666666667,-311.9375,"West","#e63946"
-96.2916666666667,26.1416666666667,-371.25,"West","#e63946"
-96.275,26.1416666666667,-408.0625,"West","#e63946"
-96.2583333333333,26.1416666666667,-442.125,"West","#e63946"
-96.2416666666667,26.1416666666667,-479.5625,"West","#e63946"
-96.425,26.1583333333333,-71.375,"West","#e63946"
-96.4083333333333,26.1583333333333,-76.125,"West","#e63946"
-96.3916666666667,26.1583333333333,-82,"West","#e63946"
-96.375,26.1583333333333,-88.4375,"West","#e63946"
-96.3583333333333,26.1583333333333,-102.3125,"West","#e63946"
-96.3416666666667,26.1583333333333,-188.5625,"West","#e63946"
-96.325,26.1583333333333,-270.9375,"West","#e63946"
-96.3083333333333,26.1583333333333,-349.4375,"West","#e63946"
-96.2916666666667,26.1583333333333,-400.0625,"West","#e63946"
-96.275,26.1583333333333,-438.3125,"West","#e63946"
-96.2583333333333,26.1583333333333,-471.625,"West","#e63946"
-96.4083333333333,26.175,-74.875,"West","#e63946"
-96.3916666666667,26.175,-81.25,"West","#e63946"
-96.375,26.175,-87.375,"West","#e63946"
-96.3583333333333,26.175,-99.6875,"West","#e63946"
-96.3416666666667,26.175,-170.375,"West","#e63946"
-96.325,26.175,-264.6875,"West","#e63946"
-96.3083333333333,26.175,-349.75,"West","#e63946"
-96.2916666666667,26.175,-402.5625,"West","#e63946"
-96.275,26.175,-447.5625,"West","#e63946"
-96.2583333333333,26.175,-494.125,"West","#e63946"
-96.4083333333333,26.1916666666667,-74,"West","#e63946"
-96.3916666666667,26.1916666666667,-79.5625,"West","#e63946"
-96.375,26.1916666666667,-86.4375,"West","#e63946"
-96.3583333333333,26.1916666666667,-99.1875,"West","#e63946"
-96.3416666666667,26.1916666666667,-158,"West","#e63946"
-96.325,26.1916666666667,-242.9375,"West","#e63946"
-96.3083333333333,26.1916666666667,-327.875,"West","#e63946"
-96.2916666666667,26.1916666666667,-395.9375,"West","#e63946"
-96.275,26.1916666666667,-453.75,"West","#e63946"
-96.2583333333333,26.1916666666667,-499.8125,"West","#e63946"
-96.4083333333333,26.2083333333333,-73.1875,"West","#e63946"
-96.3916666666667,26.2083333333333,-78.3125,"West","#e63946"
-96.375,26.2083333333333,-85.1875,"West","#e63946"
-96.3583333333333,26.2083333333333,-97.375,"West","#e63946"
-96.3416666666667,26.2083333333333,-149,"West","#e63946"
-96.325,26.2083333333333,-230.6875,"West","#e63946"
-96.3083333333333,26.2083333333333,-317.125,"West","#e63946"
-96.2916666666667,26.2083333333333,-381.75,"West","#e63946"
-96.275,26.2083333333333,-429.25,"West","#e63946"
-96.2583333333333,26.2083333333333,-470.3125,"West","#e63946"
-96.4083333333333,26.225,-72.5625,"West","#e63946"
-96.3916666666667,26.225,-77.1875,"West","#e63946"
-96.375,26.225,-83.6875,"West","#e63946"
-96.3583333333333,26.225,-94.9375,"West","#e63946"
-96.3416666666667,26.225,-145.75,"West","#e63946"
-96.325,26.225,-224.125,"West","#e63946"
-96.3083333333333,26.225,-308.1875,"West","#e63946"
-96.2916666666667,26.225,-368.8125,"West","#e63946"
-96.275,26.225,-413.5625,"West","#e63946"
-96.2583333333333,26.225,-454.4375,"West","#e63946"
-96.2416666666667,26.225,-490.4375,"West","#e63946"
-96.4083333333333,26.2416666666667,-73.8125,"West","#e63946"
-96.3916666666667,26.2416666666667,-77.125,"West","#e63946"
-96.375,26.2416666666667,-82.625,"West","#e63946"
-96.3583333333333,26.2416666666667,-94.4375,"West","#e63946"
-96.3416666666667,26.2416666666667,-125.25,"West","#e63946"
-96.325,26.2416666666667,-186.5625,"West","#e63946"
-96.3083333333333,26.2416666666667,-269.6875,"West","#e63946"
-96.2916666666667,26.2416666666667,-338.3125,"West","#e63946"
-96.275,26.2416666666667,-385.5625,"West","#e63946"
-96.2583333333333,26.2416666666667,-422.625,"West","#e63946"
-96.2416666666667,26.2416666666667,-473.125,"West","#e63946"
-96.4083333333333,26.2583333333333,-74.375,"West","#e63946"
-96.3916666666667,26.2583333333333,-78.25,"West","#e63946"
-96.375,26.2583333333333,-82.25,"West","#e63946"
-96.3583333333333,26.2583333333333,-92.25,"West","#e63946"
-96.3416666666667,26.2583333333333,-110.8125,"West","#e63946"
-96.325,26.2583333333333,-155,"West","#e63946"
-96.3083333333333,26.2583333333333,-229.9375,"West","#e63946"
-96.2916666666667,26.2583333333333,-301.0625,"West","#e63946"
-96.275,26.2583333333333,-355.375,"West","#e63946"
-96.2583333333333,26.2583333333333,-411,"West","#e63946"
-96.2416666666667,26.2583333333333,-456,"West","#e63946"
-96.4083333333333,26.275,-74.5,"West","#e63946"
-96.3916666666667,26.275,-77.125,"West","#e63946"
-96.375,26.275,-80.0625,"West","#e63946"
-96.3583333333333,26.275,-87.75,"West","#e63946"
-96.3416666666667,26.275,-100.875,"West","#e63946"
-96.325,26.275,-136.4375,"West","#e63946"
