"indicator","Northernmost Extent of Loop Current"
"unit","latitude"
"extent","Gulf of America"
"2010.58333333333","25.5625"
"2010.66666666667","24.8125"
"2010.75","25.0625"
"2010.83333333333","25.0625"
"2010.91666666667","24.9375"
"2011","27.1875"
"2011.08333333333","27.1875"
"2011.16666666667","27.3125"
"2011.25","27.3125"
"2011.33333333333","27.6875"
"2011.41666666667","27.1875"
"2011.5","28.0625"
"2011.58333333333","27.6875"
"2011.66666666667","26.5625"
"2011.75","27.1875"
"2011.83333333333","24.3125"
"2011.91666666667","27.1875"
"2012","26.3125"
"2012.08333333333","26.1875"
"2012.16666666667","26.8125"
"2012.25","26.6875"
"2012.33333333333","27.0625"
"2012.41666666667","23.3125"
"2012.5","24.1875"
"2012.58333333333","23.9375"
"2012.66666666667","23.8125"
"2012.75","24.0625"
"2012.83333333333","24.3125"
"2012.91666666667","25.4375"
"2013","26.3125"
"2013.08333333333","27.3125"
"2013.16666666667","28.1875"
"2013.25","24.5625"
"2013.33333333333","27.9375"
"2013.41666666667","24.8125"
"2013.5","24.8125"
"2013.58333333333","25.4375"
"2013.66666666667","24.8125"
"2013.75","25.6875"
"2013.83333333333","24.5625"
"2013.91666666667","24.8125"
"2014","25.4375"
"2014.08333333333","26.1875"
"2014.16666666667","26.5625"
"2014.25","26.9375"
"2014.33333333333","27.0625"
"2014.41666666667","26.9375"
"2014.5","26.0625"
"2014.58333333333","28.0625"
"2014.66666666667","28.3125"
"2014.75","27.8125"
"2014.83333333333","27.6875"
"2014.91666666667","26.8125"
"2015","28.0625"
"2015.08333333333","27.9375"
"2015.16666666667","27.6875"
"2015.25","28.0625"
"2015.33333333333","27.6875"
"2015.41666666667","27.8125"
"2015.5","27.9375"
"2015.58333333333","28.3125"
"2015.66666666667","25.6875"
"2015.75","27.8125"
"2015.83333333333","27.6875"
"2015.91666666667","27.8125"
"2016","26.0625"
"2016.08333333333","26.5625"
"2016.16666666667","27.0625"
"2016.25","24.4375"
"2016.33333333333","24.1875"
"2016.41666666667","23.9375"
"2016.5","24.3125"
"2016.58333333333","24.3125"
"2016.66666666667","24.1875"
"2016.75","24.0625"
"2016.83333333333","24.4375"
"2016.91666666667","25.0625"
"2017","24.8125"
"2017.08333333333","24.6875"
"2017.16666666667","24.9375"
"2017.25","25.5625"
"2017.33333333333","26.0625"
"2017.41666666667","26.1875"
"2017.5","27.0625"
"2017.58333333333","26.9375"
"2017.66666666667","27.1875"
"2017.75","27.3125"
"2017.83333333333","25.8125"
"2017.91666666667","26.1875"
"2018","28.4375"
"2018.08333333333","25.9375"
"2018.16666666667","26.3125"
"2018.25","26.6875"
"2018.33333333333","26.5625"
"2018.41666666667","27.0625"
"2018.5","24.1875"
"2018.58333333333","24.6875"
"2018.66666666667","24.0625"
"2018.75","24.3125"
"2018.83333333333","24.5625"
"2018.91666666667","24.8125"
"2019","26.0625"
"2019.08333333333","26.4375"
"2019.16666666667","26.8125"
"2019.25","27.0625"
"2019.33333333333","27.5625"
"2019.41666666667","27.4375"
"2019.5","25.0625"
"2019.58333333333","25.6875"
"2019.66666666667","26.3125"
"2019.75","25.5625"
"2019.83333333333","25.9375"
"2019.91666666667","27.1875"
"2020","27.4375"
"2020.08333333333","24.4375"
"2020.16666666667","27.0625"
"2020.25","25.3125"
"2020.33333333333","24.9375"
"2020.41666666667","24.5625"
"2020.5","25.0625"
"2020.58333333333","25.8125"
"2020.66666666667","25.6875"
"2020.75","24.6875"
"2020.83333333333","25.0625"
"2020.91666666667","25.9375"
"2021","26.9375"
"2021.08333333333","27.3125"
"2021.16666666667","27.5625"
"2021.25","28.0625"
"2021.33333333333","27.8125"
"2021.41666666667","27.6875"
"2021.5","27.9375"
"2021.58333333333","28.0625"
"2021.66666666667","27.9375"
"2021.75","27.9375"
"2021.83333333333","27.9375"
"2021.91666666667","26.1875"
"2022","27.1875"
"2022.08333333333","28.3125"
"2022.16666666667","28.6875"
"2022.25","28.9375"
"2022.33333333333","27.8125"
"2022.41666666667","27.9375"
"2022.5","23.9375"
"2022.58333333333","28.0625"
"2022.66666666667","27.8125"
"2022.75","26.4375"
"2022.83333333333","26.8125"
"2022.91666666667","28.4375"
"2023","24.4375"
"2023.08333333333","26.9375"
"2023.16666666667","26.9375"
"2023.25","26.6875"
"2023.33333333333","27.0625"
"2023.41666666667","27.1875"
"2023.5","28.1875"
"2023.58333333333","27.8125"
"2023.66666666667","27.5625"
"2023.75","25.0625"
"2023.83333333333","25.3125"
"2023.91666666667","25.5625"
"2024","26.5625"
"2024.08333333333","27.9375"
"2024.16666666667","25.5625"
"2024.25","26.0625"
"2024.33333333333","26.5625"
"2024.41666666667","26.6875"
"2024.5","27.1875"
"2024.58333333333","28.5625"
"2024.66666666667","27.8125"
"2024.75","27.4375"
"2024.83333333333","24.6875"
"2024.91666666667","25.1875"
"2025","27.3125"
"2025.08333333333","27.6875"
"2025.16666666667","26.1875"
"2025.25","26.5625"
"2025.33333333333","26.6875"
"2025.41666666667","26.9375"
"2025.5","27.0625"
"2025.58333333333","27.1875"
"2025.66666666667","24.9375"
"2025.75","25.1875"
"2025.83333333333","26.6875"
"2025.91666666667","27.5625"
"2026","27.1875"
"2026.08333333333","27.5625"
"2026.16666666667","28.0625"
"2026.25","26.4375"
"2026.33333333333","26.5625"
