"indicator","Sea Surface Temperature","Sea Surface Temperature"
"unit","Anomaly (°C)","Anomaly (°C)"
"extent","Gulf-wide","US Gulf EEZ"
"1993-07","-0.0425453059"," 0.195736339"
"1993-08"," 0.2512053330"," 0.515793909"
"1993-09"," 0.0117587144"," 0.336854104"
"1993-10"," 0.0576906789"," 0.118060978"
"1993-11","-0.4875258790","-0.657321037"
"1993-12","-0.5337373501","-0.885114334"
"1994-01","-0.6881576834","-1.115848583"
"1994-02","-0.2444092349","-0.332221550"
"1994-03","-0.4038813359","-0.347234747"
"1994-04","-0.0705797495","-0.031336989"
"1994-05"," 0.4754755472"," 0.563300100"
"1994-06"," 0.0514978120","-0.061640412"
"1994-07","-0.0480283006","-0.246028367"
"1994-08","-0.6155557178","-0.769510822"
"1994-09","-0.2306161159","-0.330250914"
"1994-10","-0.2623018736","-0.292789052"
"1994-11"," 0.3625802022"," 0.263720837"
"1994-12"," 0.2429981454"," 0.080247644"
"1995-01","-0.3479536792","-0.788222429"
"1995-02","-0.1890779603","-0.607117932"
"1995-03"," 0.0567243973"," 0.077099347"
"1995-04"," 0.1489447714"," 0.249745098"
"1995-05"," 0.4850333679"," 0.646467050"
"1995-06","-0.0007709371","-0.195661017"
"1995-07"," 0.0255067977","-0.119291480"
"1995-08"," 0.1449807970","-0.012357765"
"1995-09"," 0.6123396710"," 0.576411765"
"1995-10","-0.3291192920","-0.116456759"
"1995-11","-0.2589117248","-0.443467265"
"1995-12","-0.2783155420","-0.417166243"
"1996-01","-0.9591281999","-0.922370308"
"1996-02","-0.4951266761","-0.493662117"
"1996-03","-1.0193067948","-1.057214164"
"1996-04","-1.1841735325","-1.313352277"
"1996-05","-0.2816256079","-0.091936449"
"1996-06"," 0.1808036819"," 0.277423729"
"1996-07"," 0.0784906322"," 0.031035603"
"1996-08","-0.2556792593","-0.171136590"
"1996-09"," 0.3966315075"," 0.377561981"
"1996-10","-0.2685325428","-0.464886630"
"1996-11","-0.3281294703","-0.335734463"
"1996-12","-0.6223373589","-0.661039784"
"1997-01","-0.1872854452","-0.282156112"
"1997-02","-0.0826642631","-0.174806295"
"1997-03"," 0.7444212094"," 0.715541119"
"1997-04","-0.2532094462","-0.687377866"
"1997-05","-0.4883781889","-0.780944907"
"1997-06","-0.1394943413","-0.586029910"
"1997-07"," 0.5688076637"," 0.500518445"
"1997-08"," 0.3967757999"," 0.426032226"
"1997-09"," 0.0858341633"," 0.060376869"
"1997-10","-0.1363718804"," 0.042814460"
"1997-11","-0.7095239173","-0.904969757"
"1997-12","-0.5091898246","-0.834571769"
"1998-01","-0.3530771477","-0.345189593"
"1998-02","-0.5055346634","-0.754195271"
"1998-03","-1.1263393157","-1.256905734"
"1998-04","-0.7963289573","-0.721269857"
"1998-05","-0.3520184290","-0.064186151"
"1998-06"," 0.4574477139"," 0.684127949"
"1998-07"," 0.4263455950"," 0.714816840"
"1998-08"," 0.7945919187"," 0.784633197"
"1998-09","-0.0728346160","-0.225584580"
"1998-10"," 0.3607013829"," 0.310204226"
"1998-11","-0.0888229968"," 0.069100033"
"1998-12"," 0.3401737759"," 0.640771556"
"1999-01"," 0.0489909315"," 0.098704210"
"1999-02"," 0.5494315463"," 0.731442458"
"1999-03"," 0.0213380744"," 0.013980317"
"1999-04"," 0.4097991550"," 0.714716849"
"1999-05"," 0.0695465763"," 0.088774001"
"1999-06"," 0.3830031689"," 0.571657029"
"1999-07","-0.0061924094"," 0.066431994"
"1999-08"," 0.3985956279"," 0.528102788"
"1999-09"," 0.1874185906"," 0.230601529"
"1999-10","-0.1311584573","-0.094730968"
"1999-11","-0.2166152105","-0.006939847"
"1999-12","-0.3761702128","-0.221632200"
"2000-01","-0.1351615824"," 0.030346059"
"2000-02","-0.0347823169"," 0.007161619"
"2000-03"," 0.7230127484"," 0.897548001"
"2000-04"," 0.3512541120"," 0.328974078"
"2000-05"," 0.3057366492"," 0.400041810"
"2000-06"," 0.0240783160"," 0.378367896"
"2000-07"," 0.3443319850"," 0.324126974"
"2000-08"," 0.0418750274"," 0.166667417"
"2000-09"," 0.1954431870"," 0.188018278"
"2000-10","-0.1541212635"," 0.150340270"
"2000-11","-0.0406133997"," 0.267559987"
"2000-12","-0.3349472101","-0.456580259"
"2001-01","-0.5918760496","-0.786285016"
"2001-02"," 0.0553509992"," 0.146408631"
"2001-03"," 0.0669022620","-0.044878590"
"2001-04"," 0.2002049193"," 0.361381190"
"2001-05","-0.2869491377","-0.227923005"
"2001-06","-0.0023460088"," 0.037176471"
"2001-07"," 0.2229229399"," 0.002968192"
"2001-08"," 0.0044241300","-0.207021516"
"2001-09"," 0.1392557718"," 0.100081422"
"2001-10","-0.3713059478","-0.652625350"
"2001-11","-0.1688305417","-0.312165171"
"2001-12"," 0.2481508200"," 0.447538996"
"2002-01","-0.0987077790","-0.154545396"
"2002-02"," 0.1740368945"," 0.277039239"
"2002-03"," 0.0146463879"," 0.133348664"
"2002-04"," 0.8939830994"," 1.190341642"
"2002-05"," 0.4985348793"," 0.735782974"
"2002-06"," 0.1193174891","-0.088930542"
"2002-07"," 0.0511036960","-0.093084296"
"2002-08"," 0.3557467253"," 0.123332583"
"2002-09"," 0.0016233590","-0.289398139"
"2002-10"," 0.3935602155"," 0.363889943"
"2002-11"," 0.2348902973"," 0.086917248"
"2002-12","-0.6014338702","-1.025438523"
"2003-01","-1.1470133910","-1.528164539"
"2003-02","-0.7623772877","-1.199246190"
"2003-03"," 0.3680227515"," 0.037906603"
"2003-04","-0.2418640410","-0.270054171"
"2003-05"," 0.4981917084"," 0.771709710"
"2003-06"," 0.3514493738"," 0.246723829"
"2003-07","-0.0365510594","-0.160995723"
"2003-08"," 0.1717640445"," 0.018960859"
"2003-09"," 0.1574800060","-0.031190096"
"2003-10"," 0.2060373253"," 0.088867269"
"2003-11"," 0.5454511845"," 0.706706879"
"2003-12","-0.3254656172","-0.482723443"
"2004-01","-0.6134079061","-0.742091468"
"2004-02","-0.6249551209","-0.882855915"
"2004-03","-0.0644448663","-0.156377641"
"2004-04","-0.2404922288","-0.333684280"
"2004-05","-0.5160598140","-0.428842183"
"2004-06"," 0.4817858760"," 0.755997009"
"2004-07"," 0.4853390090"," 0.489807674"
"2004-08"," 0.3589088626"," 0.102297945"
"2004-09"," 0.2206212464","-0.180293785"
"2004-10"," 0.4540784766"," 0.297737754"
"2004-11"," 0.6995417233"," 0.813578598"
"2004-12"," 0.2510829597"," 0.118389026"
"2005-01"," 0.2283679668"," 0.103418776"
"2005-02"," 0.0131555972"," 0.129486896"
"2005-03"," 0.0325667723","-0.011415753"
"2005-04","-0.2072044666","-0.250259222"
"2005-05","-0.1996869113","-0.079250957"
"2005-06"," 0.2685163724"," 0.084162512"
"2005-07"," 0.2833657034"," 0.048996237"
"2005-08"," 0.6169208078"," 0.668398353"
"2005-09"," 0.0922206126","-0.129856098"
"2005-10"," 0.3679815710"," 0.519094008"
"2005-11","-0.0604539007"," 0.019303091"
"2005-12","-0.3255795207","-0.428780755"
"2006-01"," 0.1243886447"," 0.007654134"
"2006-02","-0.0025331436"," 0.097266415"
"2006-03"," 0.3532282890"," 0.436267649"
"2006-04"," 0.5436289422"," 0.799098372"
"2006-05"," 0.0775331123"," 0.107989901"
"2006-06"," 0.1244691414"," 0.161213360"
"2006-07"," 0.3306750975"," 0.210155662"
"2006-08"," 0.4116185984"," 0.629998714"
"2006-09"," 0.7052580353"," 0.657548687"
"2006-10"," 0.4637805751"," 0.547599460"
"2006-11","-0.1105011317","-0.359561648"
"2006-12","-0.3318385198","-0.348334995"
"2007-01"," 0.0815089297"," 0.048883993"
"2007-02","-0.3847809287","-0.678962755"
